,,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,mixture,38.41711243325274,22.12642575282981,3.486785145782105,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9834474045923184, 0.005900807367206332], [0.004882322993337766, 0.984748886688378]]"
Al James - Schoolboy Facination,mixture,38.010727636525914,22.550889546079237,3.4442898124132246,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9858422614803941, 0.002014700587955681], [0.0014296829844557498, 0.9873284061258133]]"
Angels In Amplifiers - I'm Alright,mixture,41.113300792763404,25.549864307399297,2.719131900740522,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9914076549561238, -0.00013912790188897427], [0.000552284466889601, 0.9907081761483155]]"
Arise - Run Run Run,mixture,53.010613146655146,36.46668661581127,0.9825173444316555,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9973793246052742, 0.0005470287296883093], [0.00036287224336989344, 0.997703429055042]]"
BKS - Bulldozer,mixture,44.17118001397839,28.34088566309442,1.9102373518733493,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9929114336929047, 0.001905644528059411], [0.0018526596425104344, 0.9927357212791288]]"
BKS - Too Much,mixture,42.196903262421365,25.976771124960358,2.1497553864526138,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9877772091679947, 0.004274664486399952], [0.0013049346899791715, 0.9931202012135467]]"
Ben Carrigan - We'll Talk About It All Tonight,mixture,42.254415369211394,26.872331668780042,0.9846437408012289,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9914100822394347, 0.0010366666664755348], [0.0009919552873249595, 0.9915946540584233]]"
Bobby Nobody - Stitch Up,mixture,43.54459241242034,28.14514616356273,1.5877024304446552,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9905878292605569, 0.0026948006340483536], [0.001323417455801203, 0.992760895926641]]"
Buitraker - Revo X,mixture,45.087831846101444,30.00633315184411,1.613810121980047,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9934345597939718, 0.0019459168273405453], [0.0022004970751632455, 0.9924457060379123]]"
Carlos Gonzalez - A Place For Us,mixture,44.068981140809804,29.36310014382228,1.4136682561742178,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9937432556703677, 8.185001047757231e-05], [6.4892187838016e-05, 0.9935774075873558]]"
Cristina Vane - So Easy,mixture,46.69154894586637,30.772313316740558,1.3646662849702862,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9943451743640431, 0.0010694406210742316], [0.0009886064952894103, 0.9943101960433824]]"
Detsky Sad - Walkie Talkie,mixture,40.99910464305214,26.793841747416188,2.503839081558734,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9899999561807095, 0.0018660337996872223], [0.0017439251439762477, 0.989876340190026]]"
Enda Reilly - Cur An Long Ag Seol,mixture,46.83866072836832,30.700679359968284,1.4825053027735418,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9937909429773564, 0.002043706154879242], [0.003000008848971852, 0.9924203095559527]]"
Forkupines - Semantics,mixture,41.8961512309609,26.48588694928695,2.6717142805244465,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9902923893594404, 0.001526881587539953], [0.0013085052791619047, 0.9903707498108203]]"
Georgia Wonder - Siren,mixture,41.00179300459323,24.90489027511787,2.887120250303009,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9896598271278124, 0.00131817749461103], [-0.0002454182416867591, 0.9920109958722141]]"
Girls Under Glass - We Feel Alright,mixture,42.47794350117434,27.017380515089904,2.3802976215440887,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9904930217896207, 0.0020795838137255794], [0.0007286577903781254, 0.9926101884501479]]"
Hollow Ground - Ill Fate,mixture,46.46565246940383,30.619255205992015,1.648163623378516,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9953779826719681, 3.3427955831738015e-05], [0.00033064877787393346, 0.994988097250169]]"
James Elder & Mark M Thompson - The English Actor,mixture,47.640134083121936,33.29400183929752,0.8605893582724248,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9957925005186958, 0.0001173608678809796], [0.00014971139328359744, 0.9958536586791019]]"
Juliet's Rescue - Heartbeats,mixture,44.12014244462517,28.161017436508065,2.031518258648282,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9923445161260109, 0.0013768149203499287], [0.0007588646279397734, 0.9931323531815303]]"
Little Chicago's Finest - My Own,mixture,5.653284985530569,1.2736171137576529,17.65073051422398,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4189407385256727, 0.1370375000841956], [-0.08138728922187233, 0.6560729078963476]]"
Louis Cressy Band - Good Time,mixture,42.02229393214873,26.768236614559417,1.8974953616150718,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9921374368800803, 0.0002780381616125727], [9.000027798046426e-05, 0.9921803064363249]]"
Lyndsey Ollard - Catching Up,mixture,46.91381850718076,33.21402217444218,0.4902803381076922,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9955404159201504, 0.0002803530898299024], [0.00014196454589407963, 0.9958136030040794]]"
M.E.R.C. Music - Knockout,mixture,41.15411240731824,25.042738854674404,2.2178052117425078,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9906011393703787, 0.0003390139603824182], [0.00015804809763645455, 0.9904332824441149]]"
Moosmusic - Big Dummy Shake,mixture,43.9214300292882,28.92494931055264,2.3294428742005824,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9905942786960504, 0.002851408276412739], [0.0019372990788750208, 0.992717313781154]]"
Motor Tapes - Shore,mixture,46.317259565480036,32.30138910166953,1.1356933653696357,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9952324065432564, 0.00011396557434060135], [0.00026342330482896257, 0.9948421942022921]]"
Mu - Too Bright,mixture,44.186793318712304,28.279587779722892,1.9334107704029067,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9917238305472351, 0.001561541202362682], [8.30929393975828e-05, 0.9936987784787914]]"
Nerve 9 - Pray For The Rain,mixture,47.242629240674184,32.94141661113423,0.8330023968759611,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9948655639176845, 0.0005908370041798868], [2.426173436004329e-05, 0.9958638459071831]]"
PR - Happy Daze,mixture,46.70969868333358,29.997227588666455,2.401969613943386,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9910913859999676, 0.004461803981391516], [0.004362486209084981, 0.9913936990198569]]"
PR - Oh No,mixture,46.70201529103342,30.841098264665483,1.6171421812754974,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9898604994570859, 0.002768304532638363], [0.013964310309090603, 0.9894317924796876]]"
Punkdisco - Oral Hygiene,mixture,45.89940555838477,28.65311055775638,1.6592336733838688,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9913270353577418, 0.00331839793614247], [0.005247829632270553, 0.988677668059627]]"
Raft Monk - Tiring,mixture,44.567236679089376,29.516397407915584,2.0476343272956425,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9930192247153462, 0.0016425817241188887], [0.0012038331856627543, 0.9935084742575981]]"
Sambasevam Shanmugam - Kaathaadi,mixture,50.48534637746059,35.25675383762531,0.7753356931376736,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9966504416009594, 0.0002815586570806301], [0.00040727711434047225, 0.9967291771127875]]"
Secretariat - Borderline,mixture,42.381841034340226,27.258528467849516,2.2674052271484992,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9911475995707434, 0.0013608179981160209], [0.0009001451279601241, 0.9918455347161083]]"
Secretariat - Over The Top,mixture,39.25977891430697,23.35110111039266,4.167494673857788,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9862042528156352, 0.00563778093326616], [0.008819626258361461, 0.9812495275841819]]"
Side Effects Project - Sing With Me,mixture,43.89289680339304,28.33955106104679,1.72426644983944,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9911045347893583, 0.002583349800516352], [0.0020127718190641386, 0.9921086284998242]]"
Signe Jakobsen - What Have You Done To Me,mixture,42.44638929357466,27.563713329473266,1.7914663124507801,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9909308385559805, 0.001180841826427324], [0.0005599525568740669, 0.991566139623359]]"
Skelpolu - Resurrection,mixture,38.97425318127388,21.944097168817073,4.164845971409837,"[[0.0, 0.0], [0.0, 0.0]]","[[0.988816055707949, 0.001320874169172352], [0.006487686454347358, 0.9827361591878718]]"
Speak Softly - Broken Man,mixture,43.71935295119869,24.92024786028896,3.241916204756408,"[[0.0, 0.0], [0.0, 0.0]]","[[0.990590271933808, 0.0019794277897092973], [-0.0013198596686678438, 0.9943685545844415]]"
Speak Softly - Like Horses,mixture,46.60410002438233,31.27156281901852,1.5545004102890323,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9930705508858434, 0.0019200870431715872], [-0.0003529683808653359, 0.9960304593223137]]"
The Doppler Shift - Atrophy,mixture,46.768888131511076,31.133900590475704,1.449852061947021,"[[0.0, 1.0], [-1.0, 0.0]]","[[0.9948094617240317, 0.0010705929972834411], [0.001040438368056732, 0.9946845006246727]]"
The Easton Ellises (Baumi) - SDRNR,mixture,40.44598075744971,25.114016763154186,2.845892119483687,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9894732737823089, 0.002204086106074432], [0.0027312060578688823, 0.9880433511271114]]"
The Easton Ellises - Falcon 69,mixture,43.18052740362891,28.77919469930753,2.3850819295241474,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9910401834050174, 0.0021447520948141645], [0.0017752460524761266, 0.9913850394765688]]"
The Long Wait - Dark Horses,mixture,45.92885840880923,30.000897957072866,1.1524097027049551,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9937767507524351, 0.001155376300229222], [0.001325972028290042, 0.9936008092390503]]"
The Mountaineering Club - Mallory,mixture,48.074128592406915,32.88651742496787,0.821845172502744,"[[0.0, 0.0], [0.0, 0.0]]","[[0.995003156145544, 0.0010850092255454515], [0.00046936509566132014, 0.9958086899940806]]"
The Sunshine Garcia Band - For I Am The Moon,mixture,45.50145915401299,29.356633474030637,1.631293696203357,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9927469897478414, 0.0018724141921368936], [-0.0006621119655483771, 0.9957234466085396]]"
Timboz - Pony,mixture,41.176778019332744,25.89709189638262,2.540830820402025,"[[0.0, 0.0], [0.0, 0.0]]","[[0.990747072324354, 0.0011151107925387387], [0.0008293165465243582, 0.9908918748107371]]"
Tom McKenzie - Directions,mixture,47.69363923258283,31.388530128178655,1.2199844571207192,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9942822203074569, 0.0016511330515306783], [0.0011511215417543005, 0.9951259395655271]]"
Triviul feat. The Fiend - Widow,mixture,40.65190428512945,25.632693864775703,2.402610449643934,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9891732768856564, 0.0016590372570358472], [0.0, 0.9910279455588831]]"
We Fell From The Sky - Not You,mixture,43.72771356886852,29.08726666942389,1.7066443783021892,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9930753376366264, 0.0007321349975081547], [0.0018164471124939943, 0.9918423368050496]]"
Zeno - Signs,mixture,42.184055461323574,27.332180626607336,2.487756791035718,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9914048352803261, 0.0008400504076655133], [0.00011061239231679922, 0.992253734028314]]"
