,,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,mixture,29.32934316175036,20.864558566052523,4.4918113936564605,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9589593627148347, 0.007358804719976974], [0.005238491104071161, 0.9624975070887752]]"
Al James - Schoolboy Facination,mixture,29.812318882300495,21.38649482355632,3.825603576477836,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9650418285867117, 0.0029802301269641574], [0.0025771551023560354, 0.9663107150467019]]"
Angels In Amplifiers - I'm Alright,mixture,30.02573319597873,23.94859504763331,3.2222125039158485,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9681384134490083, 0.001020543168533818], [0.0008436403406814957, 0.9680812616843159]]"
Arise - Run Run Run,mixture,30.366566293566926,31.36601207897086,1.7553528262916323,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9689825225343903, 0.0008680468774403592], [0.0012526517468778751, 0.9686066822084458]]"
BKS - Bulldozer,mixture,30.211664027808396,26.070510540180326,2.408854713083875,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9682571613590133, 0.0011518097828775748], [0.0009311647560383892, 0.9684739007827528]]"
BKS - Too Much,mixture,29.905277149729613,22.9840223434145,2.9528124795191446,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9640133772929455, 0.004105632621793557], [0.0019476669039908605, 0.9671347350930872]]"
Ben Carrigan - We'll Talk About It All Tonight,mixture,30.24072444283196,26.37409190267708,1.2645755246759869,"[[0.0, 0.0], [0.0, 0.0]]","[[0.968226382026143, 0.0009860755516677535], [0.0012829795361833465, 0.9677012668865588]]"
Bobby Nobody - Stitch Up,mixture,30.233702551136112,26.431744354460886,1.8282932715346623,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9656376573211103, 0.003602422892557638], [0.004050277840207609, 0.9662151341469459]]"
Buitraker - Revo X,mixture,30.239873893078126,27.721439689428976,1.8497043928689019,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9685054656857974, 0.0008474911473825846], [0.0008889535055948553, 0.968504905363072]]"
Carlos Gonzalez - A Place For Us,mixture,30.28095584648456,27.78315298778981,1.7685930409615753,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9692844938636229, 0.0002503978447003748], [0.0002831091534782394, 0.9692366938001901]]"
Cristina Vane - So Easy,mixture,30.357668254867583,30.937997485387577,1.3004334879815738,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9683515239452986, 0.0012716584720518429], [0.0014489976537508434, 0.9683754665776105]]"
Detsky Sad - Walkie Talkie,mixture,30.156802373275315,24.880000908684746,2.99466078233303,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9678548889292589, 0.0017629490710479856], [0.001961427916316752, 0.967497355487747]]"
Enda Reilly - Cur An Long Ag Seol,mixture,30.250048164850902,26.930815663358842,2.3002793264344854,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9678906998488248, 0.0017500032028292727], [0.0032527814710415254, 0.9657382814782398]]"
Forkupines - Semantics,mixture,30.209812059699857,25.85522767596033,2.8511651908606392,"[[0.0, 0.0], [0.0, 0.0]]","[[0.967713350696849, 0.0015272208768231249], [0.0017256580093650796, 0.9679165875879983]]"
Georgia Wonder - Siren,mixture,29.735720319850238,21.165271922433874,4.342257460297665,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9650887471873143, 0.0021613248811341505], [0.0011701574449552977, 0.9679023284949599]]"
Girls Under Glass - We Feel Alright,mixture,30.141162726343374,24.740006861035567,3.0295361044018887,"[[0.0, 0.0], [0.0, 0.0]]","[[0.967402578143751, 0.0016203906023591233], [0.001309941765787778, 0.9680698637987657]]"
Hollow Ground - Ill Fate,mixture,30.36424528960408,29.88213400543743,1.785412927710616,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9687762263006103, 0.0012669905204354829], [0.0013979020828699753, 0.9685372310476322]]"
James Elder & Mark M Thompson - The English Actor,mixture,30.321209726858353,31.0996594779311,1.0497011715618618,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9692625284836035, 0.0002640252127337951], [0.0004774760602278667, 0.9693415102358774]]"
Juliet's Rescue - Heartbeats,mixture,30.20284099461659,26.47234832986753,2.395571159489532,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9682977955944038, 0.0008170905174293703], [0.0006172120012756353, 0.9687150287634935]]"
Little Chicago's Finest - My Own,mixture,4.900845848460697,3.926121083484606,14.735466544232487,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4156486151236466, 0.15555747143658497], [3.953970631904759e-05, 0.6087765390468827]]"
Louis Cressy Band - Good Time,mixture,30.20513791964495,26.216158464800834,2.036900189816365,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9688594264697948, 0.00045992893577532877], [0.0003744762221532125, 0.9689346700732838]]"
Lyndsey Ollard - Catching Up,mixture,30.381391092883632,32.09652434870419,0.555600680098901,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9693517851762237, 0.0004719163586383899], [0.00041584029497472916, 0.9693948123087288]]"
M.E.R.C. Music - Knockout,mixture,30.032408259378744,23.88645954977906,2.752323566145903,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9678174666243854, 0.0008107090792524908], [0.0007493065592352717, 0.968096917159488]]"
Moosmusic - Big Dummy Shake,mixture,30.15894861671484,25.46918288563895,3.5402577661993146,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9645026189973885, 0.004151392837453552], [0.004199615011098058, 0.965480012803943]]"
Motor Tapes - Shore,mixture,30.35053240833589,30.50999132639056,1.430317509901429,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9692005997507475, 0.0005047301336834445], [0.000472881718929193, 0.9692768821820514]]"
Mu - Too Bright,mixture,30.133855633027366,26.497855170665602,2.1435418832428885,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9664986466827605, 0.0018389311402010854], [0.0013603999291027693, 0.9676482735532667]]"
Nerve 9 - Pray For The Rain,mixture,30.371064376534033,32.075844785613725,0.9296393776566555,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9690710550623652, 0.000717726300458514], [0.0007202583531380097, 0.9691664274387152]]"
PR - Happy Daze,mixture,30.288956935632765,26.883825984587983,3.410381932966437,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9654060445121553, 0.0037009776563253654], [0.0022671040791389973, 0.9672294912606658]]"
PR - Oh No,mixture,30.204203895275338,24.42064398036249,3.3924848101785545,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9617421095104862, 0.004027134142331912], [0.013155942234177617, 0.9617027205413998]]"
Punkdisco - Oral Hygiene,mixture,30.241605037504918,29.051763562986256,1.4254658338353616,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9643125964478004, 0.0050233207434173584], [0.005393621266292713, 0.9643380687700853]]"
Raft Monk - Tiring,mixture,30.30517954879739,27.573798632110744,2.641642892840694,"[[0.0, 0.0], [0.0, 0.0]]","[[0.968783073195512, 0.0008997816085121587], [0.0006997810315413386, 0.9689303141579568]]"
Sambasevam Shanmugam - Kaathaadi,mixture,30.401650634946577,34.2708846039707,0.9736552680557317,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9695379293719467, 0.00014786450583274076], [0.0002073969722067115, 0.9695952884521275]]"
Secretariat - Borderline,mixture,30.143582001327523,25.599877981569186,2.455762390394194,"[[0.0, 0.0], [0.0, 0.0]]","[[0.966338067498419, 0.0025991868436719993], [0.0022444322608637626, 0.9670796684219679]]"
Secretariat - Over The Top,mixture,29.383184222586145,21.32839241700973,5.42484525436934,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9615853251081977, 0.0069919364919824156], [0.010339874187179307, 0.9570483467320384]]"
Side Effects Project - Sing With Me,mixture,30.14513929389304,25.093020475155594,2.4804645760516353,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9654679129518992, 0.003837926117706183], [0.003515509363313984, 0.9657056854520814]]"
Signe Jakobsen - What Have You Done To Me,mixture,30.274331616801582,26.93403619596641,1.4779541381252461,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9679491460316785, 0.0014702472441076168], [0.0010352316900134341, 0.968451424452335]]"
Skelpolu - Resurrection,mixture,29.559048343247895,22.284067199219123,3.8019350871827458,"[[0.0, 0.0], [0.0, 0.0]]","[[0.965365205066097, 0.0032143832804665913], [0.006851106206056737, 0.959842030609569]]"
Speak Softly - Broken Man,mixture,29.62982944028223,24.424116078715553,3.2722571241936076,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9630221389019932, 0.002804719509460495], [-0.0014109209854144106, 0.9679364908996866]]"
Speak Softly - Like Horses,mixture,30.28553293946795,29.655196010287877,1.8215426267419594,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9653303885221757, 0.0038253535518410274], [0.0013101947861570216, 0.9682797070868651]]"
