,,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,mixture,-2.28068518022506,10.617110386401047,12.319217188287695,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8201588099828756, 0.07300216959860413], [0.07898162355200336, 0.8119100466058042]]"
Al James - Schoolboy Facination,mixture,-2.275619525376061,7.466713238774869,16.20900079976019,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8356371067176238, 0.02314196496385838], [0.015707912878632876, 0.8539169062275733]]"
Angels In Amplifiers - I'm Alright,mixture,-2.4125000842161115,9.813426229196224,14.646186546782953,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8942603805887558, 0.005520560528816521], [0.01032499265145181, 0.8924424163330247]]"
Arise - Run Run Run,mixture,-3.205762407330389,17.856301924772282,7.794502717576839,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9330038881496325, 0.009078247937057022], [0.01711540220721222, 0.9270143567899647]]"
BKS - Bulldozer,mixture,-2.4341590184137307,11.654510430102473,10.669432912155964,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8959912048889455, 0.03055858532896886], [0.028304026337352267, 0.8974227402357828]]"
BKS - Too Much,mixture,-2.018571678448472,11.23545973214542,11.946789814769657,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8474615471292715, 0.05092035417810338], [0.0181152474374739, 0.904031096416835]]"
Ben Carrigan - We'll Talk About It All Tonight,mixture,-2.717590650114155,10.72095726390356,7.427645405690756,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8997469790719606, 0.010607036993409355], [0.014647877515589831, 0.8897112544277908]]"
Bobby Nobody - Stitch Up,mixture,-2.2440560482877983,10.384139635642592,10.875431313581409,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8525406908268391, 0.04704335957240767], [0.002771076826769691, 0.9132039391837214]]"
Buitraker - Revo X,mixture,-1.1321117508295895,11.512000709836617,11.890961298979597,"[[-576.0, -575.0], [-577.0, -576.0]]","[[0.8962778798766478, 0.03150739311459884], [0.0338575217102919, 0.8861693217655502]]"
Carlos Gonzalez - A Place For Us,mixture,-2.783103868449338,11.180614171600284,11.479530421082098,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9166821546584715, 0.0010651681173691478], [0.0017042894977067568, 0.915444981376184]]"
Cristina Vane - So Easy,mixture,-3.7608640152843704,14.463626699139997,8.348402569283424,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9155773385379145, 0.017609437951285774], [0.009561661180370929, 0.9233707981929553]]"
Detsky Sad - Walkie Talkie,mixture,-2.141923433385646,7.734306025734188,18.34714114797907,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8190791955245456, 0.050507713361153395], [0.054230739623885166, 0.8230334359366223]]"
Enda Reilly - Cur An Long Ag Seol,mixture,-1.09700561343323,15.051499885517005,8.70850287648118,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8899605641545008, 0.04226221458463726], [0.041545187412250335, 0.8872188348185948]]"
Forkupines - Semantics,mixture,-2.7948464904852495,7.96029577809203,19.52764063895545,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8565061279346121, 0.02237272702692272], [0.014682137071074823, 0.8714131300226867]]"
Georgia Wonder - Siren,mixture,-2.3622742049427394,9.5984183091687,14.475203883132924,"[[-576.0, -577.0], [-576.0, -576.0]]","[[0.8393923163992302, 0.03927848221809725], [0.006109978227366022, 0.9026198826331482]]"
Girls Under Glass - We Feel Alright,mixture,-2.041295645599567,8.076301840289851,18.20560049055046,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8190365788712002, 0.05259591820686821], [-0.010915550770451378, 0.909334318448799]]"
Hollow Ground - Ill Fate,mixture,-2.68101553654303,12.20876794058187,12.516856660725061,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.925368714306555, -0.00012421272164027546], [0.008635333055525779, 0.919042540237743]]"
James Elder & Mark M Thompson - The English Actor,mixture,-2.9951169152119856,13.721320394555844,7.841345698066901,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9229588077317445, 0.0032798983206605284], [0.004736468485427138, 0.9248955185907546]]"
Juliet's Rescue - Heartbeats,mixture,-3.311176417375288,12.495339161955801,11.075957835650904,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8928051834049667, 0.02329591559178812], [0.0189102718948362, 0.9042527386078749]]"
Little Chicago's Finest - My Own,mixture,-1.1257961263664467,2.9278379244412047,15.304246371495754,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.38047437173029114, 0.21893890362934318], [0.1443708384315129, 0.5563207132853855]]"
Louis Cressy Band - Good Time,mixture,-2.3221563215510193,9.473743580606786,12.913575677370858,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8973665771492292, 0.0012914412821630112], [0.0, 0.9033958783081458]]"
Lyndsey Ollard - Catching Up,mixture,-2.861986755510281,13.095013030868795,4.6600739617296725,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9232485694589979, 0.0022966884690363808], [0.003402480176292473, 0.9237062955742399]]"
M.E.R.C. Music - Knockout,mixture,-2.5218724692298253,9.981410756477826,12.120100632008047,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8895714239391765, 0.0067283269510707905], [0.009836916920678687, 0.8923976097564417]]"
Moosmusic - Big Dummy Shake,mixture,-2.7947060477709544,9.994876284485851,17.12196934671557,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8273210618210014, 0.0712003488455799], [0.04693782250728497, 0.872135593190353]]"
Motor Tapes - Shore,mixture,-3.1043787551534403,12.41396947566803,11.01005226067041,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9273839216409089, 0.0013141200611089603], [0.005014628556831283, 0.916366168661747]]"
Mu - Too Bright,mixture,-2.684716958785182,10.848316752660807,11.989306872906889,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8773662707998576, 0.0221913234021356], [0.0089124464085889, 0.890596996186965]]"
Nerve 9 - Pray For The Rain,mixture,-2.9874106909064615,13.014216558876992,8.113289942383382,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9145881541984372, 0.010010571271251906], [0.0011397849995031099, 0.9333425900008725]]"
PR - Happy Daze,mixture,-2.4682206347957916,11.470741656207728,18.931313810185838,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8112046397425636, 0.08434734245416779], [0.05387182677557347, 0.8559767916711001]]"
PR - Oh No,mixture,-3.3585339830827903,12.005329019633571,13.039582363487883,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8606688296870839, 0.021708087360288824], [0.232270823879793, 0.7700692100161332]]"
Punkdisco - Oral Hygiene,mixture,-3.7833115189825666,13.354277307611682,9.265790394153097,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8657557047970459, 0.06210594260077014], [0.09603759676194792, 0.8238952786972746]]"
Raft Monk - Tiring,mixture,-2.62164918316212,10.258934968578707,15.884850255962274,"[[-576.0, -577.0], [-575.0, -576.0]]","[[0.8810164391221693, 0.03628024239640655], [0.0325838484922656, 0.8883292574855648]]"
Sambasevam Shanmugam - Kaathaadi,mixture,-2.605531342897561,18.496276070964022,5.562111210505536,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9371542002657155, 0.005458985195872316], [0.005742265860020019, 0.9385732438844374]]"
Secretariat - Borderline,mixture,-2.6499418602085045,10.210282511353075,12.947625479711016,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8804630180812851, 0.022222032150849506], [0.01678215481215233, 0.8899336464463452]]"
