,,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,mixture,-2.322134471985699,10.993928459209151,10.939774342761265,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8378021779047433, 0.06734291193061359], [0.06932470678876108, 0.8360416162896896]]"
Al James - Schoolboy Facination,mixture,-2.366976785346091,9.061842732841448,14.533293689530124,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8568048882939309, 0.033729104136458514], [0.024330885688592235, 0.8688042481776341]]"
Angels In Amplifiers - I'm Alright,mixture,-2.4699923566794006,11.270827970816267,12.536937544390813,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9038546369418405, 0.013907850902007773], [0.013865813189084863, 0.9044155189659748]]"
Arise - Run Run Run,mixture,-3.217573977721785,19.350642344560622,6.789874392793475,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9321782711573459, 0.011911368578405714], [0.020216753425889564, 0.926024542578393]]"
BKS - Bulldozer,mixture,-2.474474650931395,12.917736272200464,9.53137249993847,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9057426153137834, 0.025723779014274913], [0.0220409918757914, 0.9128024486985997]]"
BKS - Too Much,mixture,-2.0710365031016864,12.473739018217891,10.614229412013502,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8637224263530762, 0.04788707339401817], [0.02370761912545113, 0.9104435090622943]]"
Ben Carrigan - We'll Talk About It All Tonight,mixture,-2.7907351464318033,12.29922236316321,5.980824032625289,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9090678865292094, 0.013865193914457242], [0.020733792967186644, 0.893814768904363]]"
Bobby Nobody - Stitch Up,mixture,-2.299896236336518,12.232883003157859,8.851423353847167,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8627535108755554, 0.060044402980040865], [0.03333857418559571, 0.9010783036686804]]"
Buitraker - Revo X,mixture,-1.2221734547538443,13.113703578977557,9.885259816960215,"[[-576.0, -575.0], [-577.0, -576.0]]","[[0.9097964295061611, 0.024213401351337503], [0.026767304845386752, 0.9052723274446641]]"
Carlos Gonzalez - A Place For Us,mixture,-2.835107061266464,13.482387475927297,8.87040666552578,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9256879380988186, 0.007460640144141483], [0.007270817715298877, 0.9246448529516076]]"
Cristina Vane - So Easy,mixture,-3.7933409314883697,16.938518452326388,6.42135101761931,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9160667726698244, 0.024826206637733553], [0.02184591511634345, 0.919951833054373]]"
Detsky Sad - Walkie Talkie,mixture,-2.3099737887738074,9.21708318854093,15.605940423175163,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.836990640493095, 0.07025557943190026], [0.06817389173703531, 0.8434639257937994]]"
Enda Reilly - Cur An Long Ag Seol,mixture,-1.1263250933898672,16.421560605046423,7.327980881500459,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.898912072243212, 0.03949529736771409], [0.04023948864679921, 0.8997487461757198]]"
Forkupines - Semantics,mixture,-2.90890118928802,9.711663039499271,15.989054534525316,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8670137409172654, 0.044906151310754976], [0.03324384685195289, 0.8797268114384188]]"
Georgia Wonder - Siren,mixture,-2.4190533280585664,10.664509995451732,13.302810758049299,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.854229818039623, 0.03388878734613139], [-0.0009508738970888263, 0.9152422261956252]]"
Girls Under Glass - We Feel Alright,mixture,-2.2094548352570755,10.03476429756286,15.13030809132164,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.8671843208804615, 0.043094095945209604], [0.021780910628217257, 0.9065476179691542]]"
Hollow Ground - Ill Fate,mixture,-2.7383107231303647,14.509088944711145,9.807409966608017,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9208325872871898, 0.019177483719800464], [0.020801319098096533, 0.9182484187415052]]"
James Elder & Mark M Thompson - The English Actor,mixture,-3.0400199557230168,15.518432011209581,6.382514070490161,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9296354876388322, 0.008988886629118911], [0.010750327587852864, 0.9331892416507027]]"
Juliet's Rescue - Heartbeats,mixture,-3.3496465524758268,13.631155446932501,9.921678704751518,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9087656579634678, 0.021310336943670197], [0.019173128462377984, 0.9113366217844064]]"
Little Chicago's Finest - My Own,mixture,-1.183914521568931,3.5305595608809055,14.535679119647392,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.38983880047577846, 0.3431012910081529], [0.25512807844017993, 0.5596787154008227]]"
Louis Cressy Band - Good Time,mixture,-2.3955615693659733,11.27299329279844,10.67138119951797,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9149502363861822, 0.005973463880737408], [0.0055327202074407856, 0.9191879792629662]]"
Lyndsey Ollard - Catching Up,mixture,-2.8988034057472745,15.468505622467852,3.5439721940836684,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9295488211642846, 0.008432564763640828], [0.0077050339623854006, 0.9303986305468714]]"
M.E.R.C. Music - Knockout,mixture,-2.610933568864418,11.446179516276485,10.512380117413064,"[[-576.0, -576.0], [-576.0, -576.0]]","[[0.9009805357021435, 0.012739453879856604], [0.010115009067449027, 0.9037984136951427]]"
