,,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,mixture,22.25014679178533,10.871738315581542,12.68883273219405,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8716816331129087, 0.10509919627255032], [0.11915092342519773, 0.8650325916306527]]"
Al James - Schoolboy Facination,mixture,21.952766532948484,9.693869940507248,13.850917072563078,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8831215679578832, 0.07885356919256442], [0.08216760699360423, 0.9005263184147185]]"
Angels In Amplifiers - I'm Alright,mixture,25.690117229900032,10.995599541636835,13.498402559998048,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9391758709663034, 0.03622956332412222], [0.04477625088178225, 0.9392978570169421]]"
Arise - Run Run Run,mixture,26.36222703659007,15.34197555479518,11.126781960419427,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8907760048701767, 0.09803966140343545], [0.09644179234772424, 0.903164607607181]]"
BKS - Bulldozer,mixture,27.442862731114683,12.2847263782292,11.275961340419768,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9419574744575531, 0.0415580428878694], [0.038080910389959664, 0.9473076456410214]]"
BKS - Too Much,mixture,23.93962898825532,12.235746794437164,10.90897869026241,"[[0.0, 0.0], [0.0, 0.0]]","[[0.884907895947018, 0.09065996340751056], [0.0682224871859531, 0.9270782924361542]]"
Ben Carrigan - We'll Talk About It All Tonight,mixture,25.07679647634769,12.830763732927574,6.002563266489464,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9068161695347055, 0.08720620527116718], [0.0692916079803714, 0.9053777107286509]]"
Bobby Nobody - Stitch Up,mixture,22.298722098017407,13.683173607440011,8.116862648380197,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8142298454683157, 0.16770227628801698], [0.1622452832307589, 0.8460898359808053]]"
Buitraker - Revo X,mixture,26.727209060257863,13.36586762947736,10.549381458776391,"[[0.0, 0.0], [0.0, 0.0]]","[[0.92708395043135, 0.05953373289379724], [0.03296393716282478, 0.9452848816827564]]"
Carlos Gonzalez - A Place For Us,mixture,27.59202708015206,12.521503040765971,10.40965254066715,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9469773685209347, 0.033288136212352895], [0.03201013503623553, 0.9461600735996466]]"
Cristina Vane - So Easy,mixture,25.24341963113965,15.32933218665158,8.017258020240176,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8663833269888103, 0.1300308884093468], [0.0881791408680684, 0.9067945025603674]]"
Detsky Sad - Walkie Talkie,mixture,21.211155666873584,10.607287054319343,14.87540817111875,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8670685634006173, 0.1126695544842683], [0.09653106774611156, 0.8845289272077798]]"
Enda Reilly - Cur An Long Ag Seol,mixture,27.07006484612808,15.226866461236565,9.256441854369278,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9156600867999979, 0.08252028343957499], [0.07383460140480325, 0.9128893838792352]]"
Forkupines - Semantics,mixture,23.011289757152852,11.858623138597455,14.001693151804579,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8801331548715918, 0.10926963499220392], [0.10805239783626017, 0.8802686325337008]]"
Georgia Wonder - Siren,mixture,24.523387376172714,10.267627617922976,15.288613727765341,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9168014580807577, 0.04613024335715284], [0.04054271117528636, 0.9388821158932914]]"
Girls Under Glass - We Feel Alright,mixture,23.38816672197798,12.033624082946183,12.716433284642829,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9038691767553266, 0.0916985518267096], [0.0839237480590326, 0.9062268824926512]]"
Hollow Ground - Ill Fate,mixture,24.74835822517981,14.399376596168095,11.014555083207679,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8909558476850321, 0.10404627276654897], [0.1129654485149356, 0.8922557334342294]]"
James Elder & Mark M Thompson - The English Actor,mixture,,,7.767472354536668,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9501082188714507, 0.035785686049990585], [0.051414063042739135, 0.9512807117456067]]"
Juliet's Rescue - Heartbeats,mixture,26.897472941277165,13.077308999989373,11.489260751632784,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9317956049503263, 0.049877457052549916], [0.04288838027054694, 0.9401960266145326]]"
Little Chicago's Finest - My Own,mixture,5.759172764051806,0.38587869971379885,19.723593371729102,"[[0.0, 1.0], [-1.0, 0.0]]","[[0.37419601555612714, 0.14552750939358836], [-0.07097332509581136, 0.6397620667488229]]"
Louis Cressy Band - Good Time,mixture,27.441602836961906,11.510991785166315,11.170792076054264,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9510278894034766, 0.027452065176845387], [0.024281489630236523, 0.9561620906399135]]"
Lyndsey Ollard - Catching Up,mixture,29.11539946269113,14.89589173402436,3.967473700518462,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9365002395160474, 0.05607003727055448], [0.05302429902196314, 0.9448073658370182]]"
M.E.R.C. Music - Knockout,mixture,25.195239950274996,10.996977483731118,12.402803391274546,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9317549061579051, 0.04553995954244916], [0.05249240458088969, 0.9316532680260483]]"
Moosmusic - Big Dummy Shake,mixture,21.641490655225635,12.96038928442734,14.258862347040683,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7801032498678331, 0.20220819461256226], [0.16773286705085508, 0.8311572311578951]]"
Motor Tapes - Shore,mixture,29.097509387141805,14.006030516968304,9.653331801313012,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9541761973629327, 0.037281069710820826], [0.029728287413898942, 0.9546500579458899]]"
Mu - Too Bright,mixture,24.674079837689387,12.934349857547025,10.66549473345384,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9005820617798753, 0.08200947101470286], [0.07154240430287426, 0.9243027681478762]]"
Nerve 9 - Pray For The Rain,mixture,27.73656920071,14.946476049661033,6.871888163300808,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9138870734145736, 0.07315116110993906], [0.06553129549058628, 0.930275871378247]]"
PR - Happy Daze,mixture,26.171194687865082,15.44019356421471,13.253783133601276,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7793312514149012, 0.2051413906469567], [0.20719482994556554, 0.7885758507114309]]"
PR - Oh No,mixture,27.20193594427693,15.47962228339031,9.458701366919097,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7726503395827423, 0.09892905513429517], [0.2875750116070424, 0.8362779131215206]]"
Punkdisco - Oral Hygiene,mixture,26.06537514499241,13.501851639181819,9.571251020403896,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8305117756938792, 0.14672380270394839], [0.20296269929937077, 0.7714669546950803]]"
Raft Monk - Tiring,mixture,27.108455511535244,12.223886120164288,14.595809230318181,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9398490176949791, 0.039726661969079716], [0.03854008849221993, 0.9451129961997355]]"
Sambasevam Shanmugam - Kaathaadi,mixture,33.407983856392455,16.69598174884381,7.145109761604523,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9686671808469269, 0.019465773190646525], [0.026150242037169286, 0.9696968442368585]]"
Secretariat - Borderline,mixture,22.677960319043635,12.830166222872553,11.30995368930365,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8682208704187451, 0.10780221929009229], [0.11854860834556019, 0.8832826156636594]]"
Secretariat - Over The Top,mixture,20.8926559475745,11.26860706995653,16.612550907746034,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8514444762993187, 0.13289684959457781], [0.14600624409808627, 0.8295706360772304]]"
Side Effects Project - Sing With Me,mixture,22.03026814237218,12.923044782390233,10.108281737718494,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8057083491686546, 0.17595920972856352], [0.1777884224660968, 0.8144911520496741]]"
Signe Jakobsen - What Have You Done To Me,mixture,24.48889795056394,11.95844111518992,9.490782078356935,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9106211771006616, 0.06738236805757589], [0.06254720746823858, 0.920134037229934]]"
