,,SSR,SRR,cost,shift,scale
fadg0,0,80.0,80.0,3.842210103429203e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5, 0.4999999999999999], [0.4999999999999999, 0.4999999999999998]]"
fadg0,1,8.649876547623766,80.0,0.0005638243928627373,"[[0.0, -1.0], [0.0, -1.0]]","[[0.5000305445529967, 0.49999999809565043], [0.49999999809565054, 0.4999694554470032]]"
fadg0,2,6.297174343445935,79.0814021784104,0.0011274604962279542,"[[0.0, -2.0], [0.0, -2.0]]","[[0.5000612597585326, 0.4999999923665637], [0.4999999923665638, 0.49993874024146745]]"
fadg0,4,1.977703870240907,76.81278255785085,0.0019019994117065503,"[[0.0, -4.0], [0.0, -4.0]]","[[0.5001031948073561, 0.4999999783004528], [0.4999999783004528, 0.4998968051926438]]"
fadg0,8,-1.3285015034384533,76.19149232368683,0.002206126741309643,"[[0.0, -8.0], [0.0, -8.0]]","[[0.5001181619672974, 0.49999997110693073], [0.49999997110693095, 0.4998818380327025]]"
fadg0,16,-0.5443195922435782,71.67050444524835,0.006204781822527214,"[[0.0, -16.0], [0.0, -16.0]]","[[0.5003378754722054, 0.4999997683178424], [0.4999997683178424, 0.49966212452779446]]"
fadg0,32,-0.5479543335614587,71.31185269452486,0.006739605334260096,"[[0.0, -32.0], [0.0, -32.0]]","[[0.5003668958611874, 0.4999997267097105], [0.49999972670971043, 0.49963310413881257]]"
fadg0,64,0.7608179334115422,70.13334668454041,0.008897411282845057,"[[0.0, -64.0], [0.0, -64.0]]","[[0.5004767915803492, 0.49999952964824024], [0.4999995296482403, 0.4995232084196506]]"
fadg0,128,0.11495711993026546,66.85260791109584,0.018861175355483234,"[[0.0, -128.0], [0.0, -128.0]]","[[0.5010200383540591, 0.4999978693454815], [0.4999978693454816, 0.4989799616459409]]"
fadg0,256,-0.32109687558227484,63.91794038980533,0.036902080721366845,"[[0.0, -256.0], [0.0, -256.0]]","[[0.5020151829974169, 0.4999917695762738], [0.4999917695762738, 0.49798481700258307]]"
fadg0,512,0.5791428546672814,60.795717921930915,0.07540036594553243,"[[0.0, -512.0], [0.0, -512.0]]","[[0.5041492064190574, 0.49996533256847087], [0.4999653325684711, 0.49585079358094275]]"
faks0,0,80.0,80.0,2.1297249459784992e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5000000000000001, 0.5], [0.5, 0.49999999999999994]]"
faks0,1,8.172339239009439,80.0,1.985383083615947e-05,"[[0.0, -1.0], [0.0, -1.0]]","[[0.5000000796614458, 0.4999999999982675], [0.4999999999982677, 0.4999999203385542]]"
faks0,2,4.738905629703009,80.0,5.788367198156736e-05,"[[0.0, -2.0], [0.0, -2.0]]","[[0.5000001491841727, 0.499999999985274], [0.4999999999852742, 0.4999998508158276]]"
faks0,4,1.0092491457064392,80.0,6.940195039342349e-05,"[[0.0, -4.0], [0.0, -4.0]]","[[0.5000002642708604, 0.49999999997883027], [0.4999999999788303, 0.4999997357291395]]"
faks0,8,-1.8570722970115043,80.0,0.00012043224346648229,"[[0.0, -8.0], [0.0, -8.0]]","[[0.500000375294034, 0.49999999993625255], [0.49999999993625255, 0.49999962470596615]]"
faks0,16,0.687337863331562,80.0,5.119939372645555e-05,"[[0.0, -16.0], [0.0, -16.0]]","[[0.4999966056294913, 0.499999999988478], [0.499999999988478, 0.5000033943705083]]"
faks0,32,7.373930683376882e-08,80.0,9.225385103099127e-05,"[[0.0, -32.0], [0.0, -32.0]]","[[0.5000008775037273, 0.4999999999625911], [0.4999999999625911, 0.49999912249627293]]"
faks0,64,-0.7564390812364261,80.0,0.00045387532760508955,"[[0.0, -64.0], [0.0, -64.0]]","[[0.4999699081260661, 0.4999999990944791], [0.4999999990944792, 0.5000300918739339]]"
faks0,128,-0.45680750127310626,75.63539146679935,0.0024926443909710906,"[[0.0, -128.0], [0.0, -128.0]]","[[0.49983471614311326, 0.4999999726812457], [0.4999999726812461, 0.5001652838568866]]"
faks0,256,-0.7455436503002193,57.797029039320336,0.019421677972062804,"[[0.0, -256.0], [0.0, -256.0]]","[[0.49871130759411253, 0.4999983392691248], [0.499998339269125, 0.5012886924058874]]"
faks0,512,-0.2124693607698003,45.82160941124094,0.07693668838806675,"[[0.0, -512.0], [0.0, -512.0]]","[[0.49488399574992403, 0.4999738258154252], [0.4999738258154253, 0.505116004250076]]"
fasw0,0,80.0,80.0,1.8993198703823975e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5000000000000001, 0.49999999999999994], [0.49999999999999994, 0.49999999999999983]]"
fasw0,1,7.398280889291224,80.0,1.5975718677934244e-05,"[[0.0, -1.0], [0.0, -1.0]]","[[0.5000007210012911, 0.49999999999948025], [0.4999999999994802, 0.499999278998709]]"
fasw0,2,5.117951046022697,80.0,3.923219531551358e-05,"[[0.0, -2.0], [0.0, -2.0]]","[[0.500001770591915, 0.49999999999686506], [0.49999999999686523, 0.49999822940808536]]"
fasw0,4,2.2534275174163123,80.0,0.00010050644974856836,"[[0.0, -4.0], [0.0, -4.0]]","[[0.5000045359723547, 0.4999999999794248], [0.4999999999794248, 0.4999954640276449]]"
fasw0,8,-1.1637117090458629,80.0,0.0002470956781548698,"[[0.0, -8.0], [0.0, -8.0]]","[[0.5000111517507229, 0.4999999998756384], [0.4999999998756384, 0.4999888482492771]]"
