,,,SSR,SRR,cost,shift,scale
fadg0,0,-1.0,2.322606875058729,80.0,7.843061379937673e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865471, 0.707106781186547], [0.0, 0.0]]"
fadg0,0,-0.8,4.179752804999577,80.0,4.3093808307141326e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6984011233337102, 0.69840112333371], [0.1106158710412371, 0.11061587104123707]]"
fadg0,0,-0.6,6.6156950184317065,80.0,3.267936676230585e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6724985119639573, 0.672498511963957], [0.21850801222441046, 0.2185080122244104]]"
fadg0,0,-0.3999999999999999,10.092751259580604,80.0,6.0476426463590426e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6300367553350503, 0.6300367553350501], [0.321019760960103, 0.32101976096010293]]"
fadg0,0,-0.19999999999999996,16.0865341185916,80.0,5.621154188134795e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5720614028176844, 0.5720614028176843], [0.4156269377774533, 0.4156269377774532]]"
fadg0,0,0.0,80.0,80.0,3.842210103429203e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5, 0.4999999999999999], [0.4999999999999999, 0.4999999999999998]]"
fadg0,0,0.20000000000000018,16.086534118591594,80.0,5.621154188134795e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4156269377774533, 0.4156269377774532], [0.5720614028176844, 0.5720614028176843]]"
fadg0,0,0.40000000000000013,10.092751259580595,80.0,3.5420585295169297e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.3210197609601029, 0.3210197609601028], [0.6300367553350503, 0.6300367553350502]]"
fadg0,0,0.6000000000000001,6.615695018431705,80.0,3.688108572226139e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.21850801222441046, 0.21850801222441044], [0.6724985119639573, 0.672498511963957]]"
fadg0,0,0.8,4.179752804999575,80.0,4.370651254796602e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.11061587104123713, 0.11061587104123712], [0.6984011233337102, 0.69840112333371]]"
fadg0,0,1.0,2.3226068750587276,80.0,7.843061379937673e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[4.3297802811774664e-17, 4.329780281177465e-17], [0.7071067811865471, 0.707106781186547]]"
fadg0,1,-1.0,2.322606875058729,80.0,7.843061379937673e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865471, 0.707106781186547], [0.0, 0.0]]"
fadg0,1,-0.8,3.8453211831047125,80.0,0.0005638079657095694,"[[0.0, -1.0], [0.0, -1.0]]","[[0.6984437880339593, 0.6984011206737104], [0.11061587061993454, 0.11060911361656647]]"
fadg0,1,-0.6,5.555625523414623,80.0,0.0005638104191210705,"[[0.0, -1.0], [0.0, -1.0]]","[[0.6725395942968351, 0.6724985094026128], [0.2185080113921793, 0.2184946637652913]]"
fadg0,1,-0.3999999999999999,7.302172335835838,80.0,0.000563814240378112,"[[0.0, -1.0], [0.0, -1.0]]","[[0.6300752437171767, 0.6300367529354298], [0.32101975973743546, 0.3210001501498997]]"
fadg0,1,-0.19999999999999996,8.590858950585119,80.0,0.0005638190554088274,"[[0.0, -1.0], [0.0, -1.0]]","[[0.5720963495373559, 0.5720614006388747], [0.4156269361944554, 0.4156015474993976]]"
fadg0,1,0.0,8.649876547623766,80.0,0.0005638243928627373,"[[0.0, -1.0], [0.0, -1.0]]","[[0.5000305445529967, 0.49999999809565043], [0.49999999809565054, 0.4999694554470032]]"
fadg0,1,0.20000000000000018,7.422901208951721,80.0,0.0005638297302630547,"[[0.0, -1.0], [0.0, -1.0]]","[[0.4156523280555089, 0.41562693619445534], [0.5720614006388747, 0.5720264560980126]]"
fadg0,1,0.40000000000000013,5.676494994562763,80.0,0.000563834545162136,"[[0.0, -1.0], [0.0, -1.0]]","[[0.32103937177030617, 0.3210197597374352], [0.63003675293543, 0.6299982669529238]]"
fadg0,1,0.6000000000000001,3.949414172027184,80.0,0.0005638383662562357,"[[0.0, -1.0], [0.0, -1.0]]","[[0.21852136068352973, 0.2185080113921793], [0.6724985094026128, 0.6724574296310792]]"
fadg0,1,0.8,2.4096039211421107,80.0,0.0005638408195347693,"[[0.0, -1.0], [0.0, -1.0]]","[[0.1106226284659078, 0.11061587061993464], [0.6984011206737104, 0.6983584586334606]]"
fadg0,1,1.0,1.0757198145875824,80.0,0.0005638416648787584,"[[0.0, -1.0], [0.0, -1.0]]","[[4.3300447835839906e-17, 4.329780264686635e-17], [0.7071067784933908, 0.7070635846654428]]"
fadg0,2,-1.0,2.322606875058729,80.0,7.843061379937673e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7071067811865471, 0.707106781186547], [0.0, 0.0]]"
fadg0,2,-0.8,3.623015989976405,79.0824227169056,0.0011273946467676911,"[[0.0, -2.0], [0.0, -2.0]]","[[0.6984866911020584, 0.698401112671309], [0.11061586935247872, 0.11060231843813742]]"
fadg0,2,-0.6,4.934906450277477,79.08227031554497,0.0011274044815744652,"[[0.0, -2.0], [0.0, -2.0]]","[[0.6725809061568698, 0.672498501697008], [0.2185080088884766, 0.21848124072827796]]"
fadg0,2,-0.3999999999999999,6.039426384053835,79.08203293419182,0.001127419799478647,"[[0.0, -2.0], [0.0, -2.0]]","[[0.630113947134047, 0.6300367457163594], [0.3210197560591354, 0.32098042977402197]]"
fadg0,2,-0.19999999999999996,6.580122619054643,79.0817337977671,0.0011274391008639308,"[[0.0, -2.0], [0.0, -2.0]]","[[0.572131491504489, 0.5720613940840957], [0.4156269314321298, 0.41557601536575756]]"
fadg0,2,0.0,6.297174343445935,79.0814021784104,0.0011274604962279542,"[[0.0, -2.0], [0.0, -2.0]]","[[0.5000612597585326, 0.4999999923665637], [0.4999999923665638, 0.49993874024146745]]"
fadg0,2,0.20000000000000018,5.3294705793787065,79.08107053372802,0.001127481891183678,"[[0.0, -2.0], [0.0, -2.0]]","[[0.415677860189149, 0.4156269314321298], [0.572061394084096, 0.5719913141308797]]"
fadg0,2,0.40000000000000013,4.046244138844763,79.08077133100582,0.0011275011914988699,"[[0.0, -2.0], [0.0, -2.0]]","[[0.321059092146184, 0.3210197560591351], [0.6300367457163595, 0.6299595635360534]]"
fadg0,2,0.6000000000000001,2.7225654733822076,79.08053386770675,0.001127516508085112,"[[0.0, -2.0], [0.0, -2.0]]","[[0.21853478372054308, 0.21850800888847652], [0.6724985016970084, 0.6724161177710446]]"
fadg0,2,0.8,1.483279740101211,79.08038140004058,0.0011275263418208316,"[[0.0, -2.0], [0.0, -2.0]]","[[0.11062942364433687, 0.11061586935247875], [0.6984011126713092, 0.6983155555653615]]"
