,,,SSR,SRR,cost,shift,scale
fadg0,4096,-1.0,2.502073559371455,13.483546708803596,3.2011061270642696,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6760982486323063, 0.6760982486323062], [0.0, 0.0]]"
fadg0,4096,-0.8,4.351004455467143,13.483546708803598,3.2011061270642696,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6677743572709215, 0.6677743572709214], [0.10576506783943182, 0.10576506783943179]]"
fadg0,4096,-0.6,6.769245964297923,13.483546708803596,3.2011061270642696,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6430076450174959, 0.6430076450174957], [0.20892584869452124, 0.2089258486945212]]"
fadg0,4096,-0.3999999999999999,10.196159954507573,13.483546708803596,3.201106127064269,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6024079505237141, 0.6024079505237139], [0.3069421817696132, 0.3069421817696131]]"
fadg0,4096,-0.19999999999999996,15.929872788718246,13.483546708803594,3.2011061270642696,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5469749730106745, 0.5469749730106743], [0.3974005796468394, 0.3974005796468393]]"
fadg0,4096,0.0,27.312572026647626,13.483546708803598,3.20110612706427,"[[0.0, 0.0], [0.0, 0.0]]","[[0.47807365635625243, 0.4780736563562523], [0.4780736563562523, 0.4780736563562522]]"
fadg0,4096,0.20000000000000018,15.929872788718235,13.483546708803594,3.2011061270642696,"[[0.0, 0.0], [0.0, 0.0]]","[[0.3974005796468394, 0.3974005796468393], [0.5469749730106745, 0.5469749730106743]]"
fadg0,4096,0.40000000000000013,10.196159954507557,13.483546708803598,3.2011061270642687,"[[0.0, 0.0], [0.0, 0.0]]","[[0.30694218176961297, 0.30694218176961285], [0.6024079505237142, 0.6024079505237141]]"
fadg0,4096,0.6000000000000001,6.769245964297921,13.483546708803596,3.20110612706427,"[[0.0, 0.0], [0.0, 0.0]]","[[0.20892584869452133, 0.20892584869452124], [0.6430076450174959, 0.6430076450174957]]"
fadg0,4096,0.8,4.351004455467143,13.483546708803598,3.2011061270642696,"[[0.0, 0.0], [0.0, 0.0]]","[[0.10576506783943189, 0.10576506783943186], [0.6677743572709215, 0.6677743572709214]]"
