,,,SSR,SRR,cost,shift,scale
fadg0,32,-1.0,0.6822288303062705,3.7863451252409135,1.118715367471109,"[[0.0, 0.0], [0.0, 0.0]]","[[0.07891380693200169, 0.07891380693200167], [0.0, 0.0]]"
fadg0,32,-0.8,0.7993943487541555,3.786345125240911,1.118715367471109,"[[0.0, 0.0], [0.0, 0.0]]","[[0.07794224701871381, 0.0779422470187138], [0.012344839171695744, 0.01234483917169574]]"
fadg0,32,-0.6,0.89600824886373,3.7863451252409117,1.118715367471109,"[[0.0, 0.0], [0.0, 0.0]]","[[0.07505149030833785, 0.07505149030833785], [0.02438570743281205, 0.024385707432812043]]"
fadg0,32,-0.3999999999999999,0.9681590663661596,3.7863451252409117,1.1187153674711086,"[[0.0, 0.0], [0.0, 0.0]]","[[0.07031271682495473, 0.07031271682495471], [0.035826118645409556, 0.03582611864540955]]"
fadg0,32,-0.19999999999999996,1.0127689884598998,3.7863451252409135,1.1187153674711088,"[[0.0, 0.0], [0.0, 0.0]]","[[0.06384261089881291, 0.0638426108988129], [0.046384371916886116, 0.04638437191688611]]"
fadg0,32,0.0,1.0278655606537137,3.7863451252409126,1.118715367471109,"[[0.0, 0.0], [0.0, 0.0]]","[[0.05580048801086439, 0.055800488010864374], [0.055800488010864374, 0.05580048801086436]]"
fadg0,32,0.20000000000000018,1.0127689884599003,3.7863451252409135,1.1187153674711088,"[[0.0, 0.0], [0.0, 0.0]]","[[0.046384371916886116, 0.04638437191688611], [0.06384261089881291, 0.0638426108988129]]"
fadg0,32,0.40000000000000013,0.96815906636616,3.7863451252409117,1.1187153674711086,"[[0.0, 0.0], [0.0, 0.0]]","[[0.03582611864540955, 0.035826118645409535], [0.07031271682495474, 0.07031271682495471]]"
fadg0,32,0.6000000000000001,0.8960082488637302,3.7863451252409117,1.118715367471109,"[[0.0, 0.0], [0.0, 0.0]]","[[0.024385707432812063, 0.024385707432812057], [0.07505149030833785, 0.07505149030833785]]"
fadg0,32,0.8,0.7993943487541555,3.7863451252409126,1.118715367471109,"[[0.0, 0.0], [0.0, 0.0]]","[[0.012344839171695751, 0.012344839171695748], [0.07794224701871381, 0.0779422470187138]]"
fadg0,32,1.0,0.6822288303062698,3.786345125240913,1.118715367471109,"[[0.0, 0.0], [0.0, 0.0]]","[[4.8320770533904045e-18, 4.832077053390403e-18], [0.07891380693200169, 0.07891380693200167]]"
fadg0,64,-1.0,0.41067534824554885,3.68067757778777,0.6812103948450006,"[[0.0, 0.0], [0.0, 0.0]]","[[0.0473572111963992, 0.047357211196399185], [0.0, 0.0]]"
fadg0,64,-0.8,0.4763449117068739,3.680677577787769,0.6812103948450007,"[[0.0, 0.0], [0.0, 0.0]]","[[0.046774165341784996, 0.04677416534178498], [0.0074082999993059385, 0.007408299999305937]]"
fadg0,64,-0.6,0.5299099136433976,3.68067757778777,0.6812103948450007,"[[0.0, 0.0], [0.0, 0.0]]","[[0.04503938430190127, 0.045039384301901256], [0.014634183065890888, 0.014634183065890885]]"
fadg0,64,-0.3999999999999999,0.5695658810248816,3.680677577787768,0.6812103948450006,"[[0.0, 0.0], [0.0, 0.0]]","[[0.042195584143358084, 0.04219558414335808], [0.021499723977324532, 0.02149972397732453]]"
