,,,SSR,SRR,cost,shift,scale
fadg0,-24,-1.0,1.7403061074704522,-23.76845161998184,248.3324707876564,"[[0.0, -2639.5], [0.0, -2639.5]]","[[0.715387664774356, 0.7507920147845666], [-0.028706303063615185, -0.04301530140592563]]"
fadg0,-24,-0.8,1.6876463331480538,-27.63916228317072,223.98596135582136,"[[0.0, -7896.0], [0.0, -7896.0]]","[[0.3754896742983556, 0.5462103636874225], [-0.03443345992040785, 0.04531694419633164]]"
fadg0,-24,-0.6,7.762229331896716,-24.31251086751573,259.4725981257618,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6777400983992286, 0.6777400983992283], [0.2705045100129633, 0.27050451001296316]]"
fadg0,-24,-0.3999999999999999,6.252736637818121,-24.48467424177158,259.5171339924074,"[[0.0, -37.0], [0.0, -37.0]]","[[0.6617060532605457, 0.6617172988357759], [0.2732277712452621, 0.2732320097728488]]"
fadg0,-24,-0.19999999999999996,14.74018239701433,-24.77345685321943,259.1525824107564,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5700250763636043, 0.5700250763636041], [0.3923045318391113, 0.3923045318391111]]"
fadg0,-24,0.0,22.850544056444043,-23.98616748445679,259.53417183307283,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5271836591011105, 0.5271836591011103], [0.545719203237077, 0.5457192032370769]]"
fadg0,-24,0.20000000000000018,11.431238382711207,-25.88487767806511,259.5249729604973,"[[-0.5, 0.0], [-0.5, 0.0]]","[[0.3438688733582762, 0.3438686977481459], [0.5115478827310272, 0.5115476075382871]]"
fadg0,-24,0.40000000000000013,9.164160361917734,-25.40176832315137,259.72520346571866,"[[0.5, 0.0], [0.5, 0.0]]","[[0.2985430039998242, 0.29854300399982414], [0.5721792397131152, 0.5721792397131151]]"
fadg0,-24,0.6000000000000001,3.462398190172808,-24.138917461185784,259.48416824611115,"[[4154.0, 0.0], [4154.0, 0.0]]","[[0.230903966527356, 0.23090396652735592], [0.7085469086474663, 0.7085469086474661]]"
fadg0,-24,0.8,1.4880878163359879,-24.570553816527024,232.8276678486314,"[[-4371.0, 0.0], [-4371.0, 0.0]]","[[-0.10104446101847386, -0.04493599247770175], [0.7082673525865448, 0.6006333107832977]]"
