,,,SSR,SRR,cost,shift,scale
fadg0,-1.0,-0.9999,80.0,80.0,8.599050883229138e-16,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9999999969157487, 0.0], [7.853981625899068e-05, 0.0]]"
fadg0,-1.0,-0.99969946696186,72.54035795803064,80.0,1.2045816390699257e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9999999721430086, 0.0], [0.00023603809400367105, 0.0]]"
fadg0,-1.0,-0.9990967989298634,62.98251368517681,80.0,8.718458322769829e-16,"[[0.0, 0.0], [0.0, 0.0]]","[[0.999999748395366, 0.0], [0.0007093724021701255, 0.0]]"
fadg0,-1.0,-0.9972855823834051,53.4246707131376,80.0,2.1204430256344158e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9999977275050176, 0.0], [0.002131896995857401, 0.0]]"
fadg0,-1.0,-0.9918422782690395,43.86683949008629,80.0,2.960335393433219e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9999794748634385, 0.0], [0.006407015829685669, 0.0]]"
fadg0,-1.0,-0.9754833510389361,34.30911438437902,80.0,2.078412764689879e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9998146218405499, 0.0], [0.019254141212696613, 0.0]]"
fadg0,-1.0,-0.9263193700271922,24.752347761002472,80.0,2.956476803188954e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9983260779576268, 0.0], [0.05783633866128045, 0.0]]"
fadg0,-1.0,-0.7785653642220176,15.204240555412303,80.0,8.596668622065119e-16,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9849149779684563, 0.0], [0.17303897298988777, 0.0]]"
fadg0,-1.0,-0.33451576160215124,5.734541550939229,80.0,2.0597357875653194e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8664893687651735, 0.0], [0.49919552663954336, 0.0]]"
fadg0,-1.0,1.0,-3.0102999566398125,80.0,1.990295660721659e-31,"[[0.0, 0.0], [0.0, 0.0]]","[[6.123233995736766e-17, 0.0], [1.0, 0.0]]"
fadg0,-0.5,-0.7214346357779822,15.204240555412309,80.0,4.469187256414683e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9018560344964286, 0.3735610007964386], [0.2005220278065509, 0.08305894347202829]]"
fadg0,-0.5,-0.5736806299728078,24.75234776100246,80.0,2.601382524051548e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8725728423916141, 0.3614315054770478], [0.30359516681576726, 0.125753235566013]]"
fadg0,-0.5,-0.5245166489610639,34.30911438437906,80.0,3.722821159490955e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8602025273454437, 0.356307553214096], [0.3370534120013995, 0.1396120944951062]]"
fadg0,-0.5,-0.5081577217309605,43.86683949008622,80.0,3.4715993655683214e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8558010934635395, 0.3544844196063228], [0.3480774037766371, 0.14417838139989908]]"
fadg0,-0.5,-0.5027144176165949,53.4246707131377,80.0,2.6031877000754538e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8543051903087573, 0.3538647962316154], [0.351732899235758, 0.14569253719626019]]"
fadg0,-0.5,-0.5009032010701366,62.98251368517833,80.0,2.7370801971781738e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8538039768532656, 0.3536571868207068], [0.3529478144185368, 0.14619577154210017]]"
fadg0,-0.5,-0.50030053303814,72.54035795803148,80.0,3.3790290567857963e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8536368188842887, 0.35358794772289776], [0.3533519096288942, 0.1463631532587202]]"
fadg0,-0.5,-0.5001,80.0,80.0,1.5305864124784889e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8535811559790356, 0.3535648913926208], [0.35348635157636177, 0.14641884093671315]]"
fadg0,-0.5,-0.4999,80.0,80.0,3.1818172738263136e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8535256199423658, 0.35354188761303174], [0.3536204274292908, 0.14647437697338309]]"
fadg0,-0.5,-0.49969946696185996,72.54035795802962,80.0,2.9324135679533564e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8534699147474003, 0.3535188137657825], [0.35375485185978617, 0.14653005739560854]]"
fadg0,-0.5,-0.4990967989298633,62.98251368517743,80.0,5.3928196883684345e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.853302374817305, 0.35344941645449784], [0.35415878885666796, 0.14669737357806126]]"
fadg0,-0.5,-0.4972855823834051,53.424670713137154,80.0,6.407858274670571e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8527977114861953, 0.3532403780583199], [0.35537227505417746, 0.1472000160188222]]"
fadg0,-0.5,-0.49184227826903953,43.86683949008627,80.0,4.860510495187649e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8512706491231994, 0.35260784811697743], [0.35901486394666315, 0.14870882574023941]]"
fadg0,-0.5,-0.4754833510389362,34.30911438437904,80.0,1.943614855135694e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8465877935280226, 0.35066814581882055], [0.3699222870315171, 0.15322682831252732]]"
fadg0,-0.5,-0.4263193700271923,24.752347761002476,80.0,3.7504883639567546e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8316763751252209, 0.3444916340821603], [0.4023279727434408, 0.1666497028324061]]"
fadg0,-0.5,-0.2785653642220176,15.204240555412309,80.0,3.306716874350026e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.779499003285723, 0.3228790590172562], [0.49591803200714396, 0.2054159746827337]]"
fadg0,-0.5,0.16548423839784876,5.734541550939226,80.0,2.740654355061058e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5631026676101341, 0.23324476193258653], [0.7324402885721301, 0.30338670115503974]]"
fadg0,0.0,-0.6654842383978484,5.734541550939234,80.0,4.657862572315755e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6828424477023582, 0.6828424477023581], [0.18364692106281522, 0.18364692106281516]]"
fadg0,0.0,-0.22143463577798217,15.204240555412312,80.0,3.930739759113331e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5789769754791719, 0.5789769754791717], [0.40593800248928424, 0.40593800248928413]]"
fadg0,0.0,-0.07368062997280773,24.752347761002476,80.0,2.8147017858369028e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5280812083094537, 0.5280812083094535], [0.4702448696481732, 0.4702448696481731]]"
fadg0,0.0,-0.024516648961063817,34.309114384379015,80.0,5.0199024725378804e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5095343815266231, 0.5095343815266231], [0.4902802403139265, 0.49028024031392636]]"
fadg0,0.0,-0.008157721730960478,43.866839490086406,80.0,3.371082259319218e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.503193245346562, 0.5031932453465618], [0.49678622951687634, 0.49678622951687623]]"
fadg0,0.0,-0.002714417616594907,53.424670713137246,80.0,4.62764389158171e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5010648122504374, 0.5010648122504372], [0.49893291525457983, 0.4989329152545797]]"
fadg0,0.0,-0.0009032010701366817,62.98251368517817,80.0,3.669388240132722e-15,"[[0.0, 0.0], [0.0, 0.0]]","[[0.500354560398768, 0.5003545603987678], [0.49964518799659785, 0.4996451879965977]]"
