,,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,0.06415741453495442,-6.653248472522186,21.728020863003007,"[[0.0, -0.5], [-0.5, 1.0]]","[[0.5312811391606276, 0.28804463773615857], [0.30601552398490905, 0.5161626062577124]]"
AM Contra - Heart Peripheral,drums,12.349022940641179,4.332660999973336,11.564157498905477,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7206302630836302, 0.06988785682822032], [0.09103847176290619, 0.6928362235382286]]"
AM Contra - Heart Peripheral,other,0.6324606077018414,-10.273022182285166,5.9348463690051,"[[0.0, 0.0], [0.0, 0.0]]","[[0.06865134292767372, 0.0019523914866298006], [-0.0003175059532109598, 0.07329513749533875]]"
AM Contra - Heart Peripheral,vocals,14.89564695869343,7.77662750634904,6.915909161818413,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6982217594122511, 0.1275232259041957], [0.12252789992107742, 0.7099188125112399]]"
Al James - Schoolboy Facination,bass,14.624685125369787,7.620266571771404,6.585516162352101,"[[-1.0, -1.0], [-1.0, -1.0]]","[[0.47221718104549465, 0.2707952888760986], [0.24479270189257704, 0.5035724889202869]]"
Al James - Schoolboy Facination,drums,10.74440647880796,3.7225802281985008,8.125617667299975,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7170985383516465, 0.022676860177021075], [0.13123543542860333, 0.5968833479762297]]"
Al James - Schoolboy Facination,other,6.363540887691696,0.5581330252935113,9.119056150881981,"[[0.0, 0.0], [0.0, 0.0]]","[[0.484758729053311, 0.010707152827518832], [-0.0009163090759155482, 0.5377861000934041]]"
Al James - Schoolboy Facination,vocals,15.578015038338648,6.885836500150864,11.17787495520148,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7909006978903141, 0.0882216950043972], [0.12027925957323587, 0.7298639448507652]]"
Angels In Amplifiers - I'm Alright,bass,14.930501547681637,7.5729656179904765,6.462748695343546,"[[-1.0, -1.5], [4.0, 3.0]]","[[2.4594876274602786, -1.7026357060408008], [2.5429802863512148, -1.8121593685951471]]"
Angels In Amplifiers - I'm Alright,drums,10.894863878025284,5.614322203852691,8.604719801931523,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5187805278420607, 0.26372247844326024], [0.18100715555204594, 0.6330318571058666]]"
Angels In Amplifiers - I'm Alright,other,11.098212453154886,5.006473896492769,11.286573962084546,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7021295744386717, 0.023874753643861157], [0.016667934149840545, 0.7194906934355263]]"
Angels In Amplifiers - I'm Alright,vocals,17.25463805833482,7.211467260612697,10.37811434831843,"[[0.0, 0.0], [0.0, 0.0]]","[[0.870457726478737, 0.009982614124628312], [0.026677615418594196, 0.8828333504023003]]"
Arise - Run Run Run,bass,21.992853760026545,0.12067187902809748,36.18654350580621,"[[1.0, -1.0], [3.0, 1.0]]","[[0.9355260274227007, 0.020148500193567082], [0.07291285421392402, 0.8769963068152773]]"
Arise - Run Run Run,drums,18.30570533149188,6.892157759586096,8.059220547797295,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8701956766062329, 0.016831950080724137], [0.008972174834207262, 0.8661345611096347]]"
Arise - Run Run Run,other,1.4221876102323616,-4.261107019812869,13.031255560779798,"[[0.0, 0.0], [0.0, 0.0]]","[[0.3949983428387911, -0.1846674373512607], [0.10565498492363776, 0.023548228308656934]]"
Arise - Run Run Run,vocals,15.677493827548723,6.8492224657727,6.994639115749949,"[[0.0, 0.0], [0.0, 0.0]]","[[0.3557359760696147, 0.2583572221382766], [0.1613849581231568, 0.5010043777901415]]"
BKS - Bulldozer,bass,13.835787667695698,7.479986934448303,7.419023866695552,"[[3.0, 19.0], [-17.0, -1.0]]","[[0.7766331187983317, 0.07922059773901563], [0.28269812759624513, 0.4975512395614849]]"
BKS - Bulldozer,drums,18.556619992290788,10.528253197439572,7.90773931192036,"[[0.0, 0.0], [0.0, 0.0]]","[[0.674541059826085, 0.23817038469632756], [0.19738057829570413, 0.7225434674626336]]"
BKS - Bulldozer,other,7.4460434809635165,1.8863468560455787,7.612917467827729,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5522663289317106, 0.046678072510891545], [0.05830660874345777, 0.5500639388081394]]"
BKS - Bulldozer,vocals,8.711515153556794,2.8319313367675254,5.683565912599634,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6019658738840828, -0.07701781731542778], [-0.07192059835403561, 0.6284366777565885]]"
BKS - Too Much,bass,20.316064668311743,10.487398876132051,7.14950494131799,"[[-1.0, 12.0], [-14.0, -1.0]]","[[0.7617049802128818, 0.1264355830400634], [0.11397448993592317, 0.8226955530791806]]"
BKS - Too Much,drums,16.506912845226786,7.900026858524311,7.835270680113005,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7809457242265468, 0.08035221495235799], [0.05023809580808577, 0.8230210700551513]]"
BKS - Too Much,other,7.970083200070011,3.618712402793942,6.580016130096808,"[[0.0, 1.0], [-1.0, 0.0]]","[[0.5753531478739315, -0.0001847517190555207], [-0.00031294324478682757, 0.6189817340622709]]"
BKS - Too Much,vocals,16.13318806730213,8.038735503977309,5.8330712048819775,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7383062321395616, 0.08468987085826583], [0.07807232580038485, 0.7007732036546482]]"
Ben Carrigan - We'll Talk About It All Tonight,bass,10.198248224084587,6.504002577267911,5.171664076351149,"[[-3.0, -3.0], [-3.0, -3.0]]","[[0.23472058551665803, 0.0], [0.23501540149052724, 0.0]]"
Ben Carrigan - We'll Talk About It All Tonight,drums,11.26623533394601,5.961336529665635,3.064638740605317,"[[0.0, 0.0], [0.0, 0.0]]","[[0.49820495412302057, 0.013599159300265118], [0.0, 0.2835508928430231]]"
Ben Carrigan - We'll Talk About It All Tonight,other,13.482543357459331,5.188000388358008,6.443809353425262,"[[0.0, 1.0], [-1.0, 0.0]]","[[0.8265975007520996, -0.04175518855416718], [-0.001653095591868492, 0.7522863951349897]]"
Ben Carrigan - We'll Talk About It All Tonight,vocals,1.8596266236457393,-0.31367754196454956,2.8010866548954585,"[[0.0, 0.0], [0.0, 0.0]]","[[0.1488238881700894, 0.021009102216933133], [0.02802936188160476, 0.16956188770245528]]"
Bobby Nobody - Stitch Up,bass,15.203030984643348,3.819499279816146,10.922046277352784,"[[-1.0, 5.0], [-8.0, -2.0]]","[[0.7585977405367632, 0.045533740350031306], [0.33586039754632024, 0.5171855717819785]]"
Bobby Nobody - Stitch Up,drums,10.27747356960098,4.217005551071134,6.675319699593831,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6752668607630758, 0.010740221331870888], [-0.02189795520432801, 0.7392330577560987]]"
Bobby Nobody - Stitch Up,other,5.570120788668127,1.3517498200915359,8.066223148191067,"[[0.0, 0.0], [0.0, 0.0]]","[[0.33404266067835875, 0.09560145644565643], [0.01956869715863889, 0.4849884623195435]]"
Bobby Nobody - Stitch Up,vocals,15.891203176754182,6.351006871591926,6.83758905213014,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7994556029953732, 0.012365009367201925], [0.028494265395591252, 0.7688997322644331]]"
Buitraker - Revo X,bass,18.176799717831557,7.019938290995034,9.456042593850611,"[[3.0, 8.0], [-5.0, 0.0]]","[[0.38239253883554325, 0.43700046559007377], [0.4307211043300565, 0.4264054013963673]]"
Buitraker - Revo X,drums,19.128940169199524,11.300824685435545,9.244684944596617,"[[0.0, 5.0], [-6.5, 0.0]]","[[0.8372833452997847, 0.09914133480092255], [0.09628464865815338, 0.8046922239308454]]"
Buitraker - Revo X,other,8.728606514493439,3.7059336611932734,8.534316944835085,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6386151756352725, -0.026659354397914455], [-0.040019512294335965, 0.6202306807485185]]"
Buitraker - Revo X,vocals,7.666263853242093,0.16838074749185938,5.78450186197826,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4965328699381003, 0.1270484862943168], [0.15532563068403304, 0.4608188550384317]]"
Carlos Gonzalez - A Place For Us,bass,0.00032350618007278306,-18.452681342654902,0.09089573222690236,"[[0.0, 0.0], [0.0, 0.0]]","[[0.001704121780916079, 0.0017095704041498244], [0.001719342960681847, 0.0017193429606818466]]"
Carlos Gonzalez - A Place For Us,drums,12.116711510218677,4.777569611595892,9.216528321589008,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7260443647803447, 0.0039167367642305535], [0.027123557975594573, 0.6602961487143099]]"
Carlos Gonzalez - A Place For Us,other,14.366230018253534,4.017418316793927,12.889881930624929,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8148165716083373, 0.002326305156691057], [0.0026628781750915203, 0.8021121424709703]]"
Carlos Gonzalez - A Place For Us,vocals,9.665611651597047,4.563848607361373,7.615352436371267,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5046244245213601, 0.11098592381837662], [0.10642845870144929, 0.5166030722091176]]"
Cristina Vane - So Easy,bass,8.63968590590714,3.438507080680452,7.32132649253862,"[[0.0, 7.0], [-7.5, -0.5]]","[[0.4844677809596367, 0.0813963884397389], [0.2442503619300845, 0.3081282846573883]]"
Cristina Vane - So Easy,drums,21.521033484235968,10.861223315812696,8.217286570481129,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7898793082635023, 0.12856942118163528], [0.07488260999360866, 0.8432135989296314]]"
Cristina Vane - So Easy,other,9.749545518843437,2.599454536097835,10.554891246451582,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5862682905014395, 0.09792014455547873], [0.09369294028842531, 0.5991063967160021]]"
Cristina Vane - So Easy,vocals,20.546156029445946,8.340660041948222,6.301683883200196,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8749260919528481, 0.02791954608377483], [0.027129251483296007, 0.8681665849204128]]"
Detsky Sad - Walkie Talkie,bass,3.856081900187459e-05,-22.56171431551323,0.012572758188265353,"[[-1.0, -1.0], [-1.0, -1.0]]","[[0.0, 0.0], [3.903950975077674e-07, 0.0]]"
Detsky Sad - Walkie Talkie,drums,13.03969095386873,6.841429432867317,13.284448873501727,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7355992220274784, 0.034134248795385194], [0.007024539658709786, 0.7543514906813876]]"
Detsky Sad - Walkie Talkie,other,6.947681138075881,-2.9025223961809115,14.209929039172735,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5366739121585353, 0.003899136097694352], [0.026381673238109016, 0.5238910880037527]]"
Detsky Sad - Walkie Talkie,vocals,0.0,-80.0,1.7122257478820373,"[[-44100.0, -44100.0], [-44100.0, -44100.0]]","[[0.0, 0.0], [0.0, 0.0]]"
Enda Reilly - Cur An Long Ag Seol,bass,16.474685589104727,7.888995446478654,8.4397270160804,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4309366106925951, 0.43829085132161816], [0.4320942116654479, 0.4386352373483241]]"
