,,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,0.438026373263273,-5.655677449532586,19.17405128200678,"[[0.0, -0.5], [-1.0, 0.0]]","[[0.28968751227775597, 0.17858573046461473], [0.21773842591675147, 0.32377305837324155]]"
AM Contra - Heart Peripheral,drums,11.405589313963237,3.518496686738122,11.974192949910506,"[[0.0, 0.0], [1.0, 0.0]]","[[0.6861019147863721, 0.0645282177626111], [0.08674038328962308, 0.6762630576422254]]"
AM Contra - Heart Peripheral,other,1.5057235872691934,-7.515452179097574,9.470340587722724,"[[0.0, 0.0], [0.0, 0.0]]","[[0.18840300090988368, -0.0008614195213933083], [-0.0213694153822055, 0.18838767819029717]]"
AM Contra - Heart Peripheral,vocals,10.39160689444985,6.276582331956737,6.863736263949397,"[[0.0, 0.0], [0.0, 0.0]]","[[0.575835568694347, 0.13346091508725705], [0.1514574717841547, 0.5611399071921804]]"
Al James - Schoolboy Facination,bass,16.39147886034364,7.809041529030246,7.29553878360307,"[[-1.0, -1.0], [-1.0, -1.0]]","[[0.5883728004299431, 0.2543765911223548], [0.3362729011864011, 0.5054856100161882]]"
Al James - Schoolboy Facination,drums,10.37216739314275,3.2298659210099396,8.258646549848226,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6964331358656916, -0.0010009933579813322], [0.10080947538578627, 0.6007728694545]]"
Al James - Schoolboy Facination,other,7.933289372996949,1.5046274988632025,10.017219763722906,"[[0.0, -1.0], [0.0, 0.0]]","[[0.5619573614669927, -0.022398923527954317], [-0.031098115157871226, 0.61152132697318]]"
Al James - Schoolboy Facination,vocals,13.596369985482685,7.136632192581896,10.211720212020476,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7185448307792608, 0.12287949000860879], [0.16381456624391394, 0.6568204228362116]]"
Angels In Amplifiers - I'm Alright,bass,15.183729879074376,5.65548179852348,8.481622301652598,"[[-1.0, -1.0], [4.0, 3.0]]","[[2.1397497388852926, -1.3372266896208678], [2.251719666298838, -1.4679113252391895]]"
Angels In Amplifiers - I'm Alright,drums,9.614566248748682,4.068593828200876,9.137759118120151,"[[0.0, 0.0], [0.0, 0.0]]","[[0.549701185790181, 0.137106624126073], [0.0981001625802477, 0.6192977027884243]]"
Angels In Amplifiers - I'm Alright,other,12.01327684268312,4.899668479130448,11.735326046307115,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6839187614457014, 0.028632310027231052], [-0.004601374894922288, 0.7716574974337966]]"
Angels In Amplifiers - I'm Alright,vocals,15.666717037276527,7.288865097270595,10.08332687024945,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8306718657627774, 0.013829205976033574], [0.024049607480532226, 0.8279321937066707]]"
Arise - Run Run Run,bass,20.30330407806699,0.28051201165352846,34.272641662740014,"[[2.0, -1.0], [4.0, 1.0]]","[[0.950362269770852, -0.02345810951880507], [0.0881012865890089, 0.8290902241760407]]"
Arise - Run Run Run,drums,17.79030646215341,3.727181384491524,13.349292702032468,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8683239130871216, 0.00803680829269775], [-0.04401465147298232, 0.9084836330580792]]"
Arise - Run Run Run,other,0.9054180496143615,-5.366472220338132,10.086243372665873,"[[0.0, 0.0], [0.0, 0.0]]","[[0.2610388727577271, -0.122641727854853], [0.10666650800375463, -0.0093980226358872]]"
Arise - Run Run Run,vocals,14.18996266540161,5.950177436460539,7.174683006750869,"[[0.0, 0.0], [0.0, 0.0]]","[[0.37058711804845335, 0.2539070672880559], [0.1587128527913728, 0.49294869412011755]]"
BKS - Bulldozer,bass,14.101376561681821,7.651342599124913,7.465458390549646,"[[4.0, 20.0], [-16.0, -1.0]]","[[0.7556850752725767, 0.10844865472075216], [0.27592835252691755, 0.5439642113891483]]"
BKS - Bulldozer,drums,18.737114173166525,10.09846690407442,8.22948679790443,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6983790236044971, 0.20496937091831136], [0.14501149669121177, 0.7704518908942133]]"
BKS - Bulldozer,other,9.890671581455422,2.500766230339026,7.9408487919989295,"[[0.0, 0.0], [0.0, 0.0]]","[[0.67470194032971, 0.020418896437908573], [0.041559221535046334, 0.6756981979905539]]"
BKS - Bulldozer,vocals,8.615489135334283,3.1948718357518464,5.258942942197883,"[[0.0, 0.0], [0.0, 0.0]]","[[0.608544282422427, -0.06425791982352962], [-0.057434433076680495, 0.585881798671658]]"
BKS - Too Much,bass,18.83822624921114,10.935093558359643,6.789532216285719,"[[-1.0, 12.0], [-15.0, -1.0]]","[[0.701176055646434, 0.19028949941941561], [0.13698593984393082, 0.7889645934429076]]"
