,,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,0.1003758174333545,-15.097456335992776,1.8757283703178367,"[[3.0, 3.0], [2.5, 2.5]]","[[0.014422256142559684, 0.017663079918284624], [0.004853204176715403, 0.021899985777493594]]"
AM Contra - Heart Peripheral,drums,21.54913237016845,8.724431377524814,9.20045103996244,"[[0.0, -4.0], [6.0, 0.0]]","[[0.8849034438774449, 0.04731690698680456], [0.03746798191162749, 0.8945861623639766]]"
AM Contra - Heart Peripheral,other,15.825778027583425,4.89673745093881,9.516922640445383,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8535863418583897, 0.0011244317095216443], [0.01054129722406218, 0.8283823423527924]]"
AM Contra - Heart Peripheral,vocals,21.44246327577069,10.972877733550295,5.2813248858255,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8327380802051337, 0.06571679754517762], [0.039307569306350695, 0.8780715504468386]]"
Al James - Schoolboy Facination,bass,22.235072033311827,11.717006679609138,5.21918767497122,"[[0.0, 0.0], [-1.0, 0.0]]","[[0.658966093693248, 0.28265022650844074], [0.19644511045358118, 0.7481579104663378]]"
Al James - Schoolboy Facination,drums,14.562809993998483,-0.37829168982163225,14.584125363522745,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7760167801252574, 0.05999614908277101], [0.1350525052450047, 0.6951355811199813]]"
Al James - Schoolboy Facination,other,10.445375001580619,3.7084280060977655,9.15141639179142,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6817877789388687, -0.02394316124800415], [-0.027823545436658922, 0.7124736799481208]]"
Al James - Schoolboy Facination,vocals,19.179621242492345,8.632989033281781,9.2237677457269,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8709176148339491, 0.04462515661034346], [0.06543307718887559, 0.8378018901620927]]"
Angels In Amplifiers - I'm Alright,bass,18.818073546735697,9.955117085590063,5.259663087756186,"[[0.0, -1.0], [5.0, 4.0]]","[[1.3697606193090643, -0.5308780040816239], [1.2530959592240607, -0.3530044736523708]]"
Angels In Amplifiers - I'm Alright,drums,14.345048480674063,3.647540588955433,11.911472289946289,"[[0.0, 0.0], [0.0, 0.0]]","[[0.681497786766141, 0.18817353276273976], [0.1463360129390699, 0.7415766494445097]]"
Angels In Amplifiers - I'm Alright,other,17.571210192130092,7.7870102881124055,10.205790950502795,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8420838360764726, 0.016538117104233842], [0.012010417421477373, 0.8828321294907063]]"
Angels In Amplifiers - I'm Alright,vocals,20.209775866870523,9.981145459378428,8.060323950368064,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8872151171839304, 0.0009967946359692012], [0.00227142478700383, 0.8966457183785944]]"
Arise - Run Run Run,bass,24.02764867278529,13.455621985300148,8.083097924824713,"[[1.0, -1.0], [3.0, 1.0]]","[[0.7933672543961332, 0.14904439769517716], [0.07523077526358198, 0.8736237192728502]]"
Arise - Run Run Run,drums,25.33474564488719,3.4575894326981054,13.373360696935741,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9467536926430389, 0.00792444445353403], [0.005169707491099969, 0.9370485749385074]]"
Arise - Run Run Run,other,26.103199780361614,12.895601189312348,9.057750089432218,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9329679059614449, 0.02576639169425124], [-0.009068008654306944, 0.9542793300158637]]"
