,,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,3.8648550148762615,-5.6097863636852106,20.65553567713825,"[[-1.0, 0.0], [0.0, 0.0]]","[[0.4666214690846793, 0.3062177205534059], [0.3438073564608285, 0.4937603167515796]]"
AM Contra - Heart Peripheral,drums,13.235737983955751,5.225952678400814,11.838001159198798,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7382818179385836, 0.08078340381373049], [0.07141912382493815, 0.7381619031035154]]"
AM Contra - Heart Peripheral,other,1.495939679873334,-7.11254334101259,9.175116166753256,"[[0.0, 0.0], [0.0, 0.0]]","[[0.15944282551303468, 0.000502505663258238], [-0.010450762751782952, 0.1663967245630923]]"
AM Contra - Heart Peripheral,vocals,17.90929645197213,8.653778873416474,6.131249522785094,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8071372039136433, 0.067207975850058], [0.06649675304854853, 0.8282802506154079]]"
Al James - Schoolboy Facination,bass,15.358805195473,8.818404844321371,6.86383322377495,"[[-1.0, -1.0], [-1.0, -1.0]]","[[0.30204083909004, 0.5105137493222054], [0.17607739457819058, 0.6311149301875228]]"
Al James - Schoolboy Facination,drums,12.6133996249491,4.535413016011292,8.180505121479761,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7676870183746536, 0.025627779390533838], [0.12172686130318727, 0.6581324054082979]]"
Al James - Schoolboy Facination,other,11.420864685344963,2.0531546964247767,11.113183234587176,"[[0.0, 0.0], [-3.0, 0.0]]","[[0.7057010393615047, -0.012400056401130208], [-0.016289811277663484, 0.7431058896865563]]"
Al James - Schoolboy Facination,vocals,14.958852717753718,7.395352619164048,9.545345532092416,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8122034256659425, 0.05153635106866876], [0.09443128285338605, 0.7498171561120572]]"
Angels In Amplifiers - I'm Alright,bass,16.896450702821326,7.586077686795447,7.024980402944225,"[[1.0, 0.0], [6.0, 5.0]]","[[2.1305062468723825, -1.2910623722538523], [2.4188394292848328, -1.6976969094012007]]"
Angels In Amplifiers - I'm Alright,drums,8.82783336410744,4.887428319175251,8.414870671590187,"[[0.0, 0.0], [0.0, 0.0]]","[[0.45174851282096784, 0.2505111635652951], [0.13681165587409388, 0.5842877126476639]]"
Angels In Amplifiers - I'm Alright,other,17.105130363260777,6.392280215894937,12.106970263630085,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8418686843982643, 0.016396043796286803], [0.007223209451169058, 0.8781020471001613]]"
Angels In Amplifiers - I'm Alright,vocals,19.0599299783725,9.025467825185467,9.306490599316536,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8977238019124151, 0.012158404538648443], [0.015429493598586374, 0.8992745923459577]]"
Arise - Run Run Run,bass,21.524580289258488,3.285010863859422,25.41174305512864,"[[2.0, -2.0], [4.0, 0.0]]","[[0.822653300209804, 0.11615815548234104], [0.06146390398824851, 0.8508937996002038]]"
Arise - Run Run Run,drums,18.44421098227455,2.1545201161965926,15.581843924422706,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8607387701686002, 0.023658341557702266], [-0.03169451618570768, 0.9280913293747621]]"
Arise - Run Run Run,other,3.9606071784539734,-0.13362205389410498,16.360020335593205,"[[0.0, 1.0], [-1.0, 0.0]]","[[0.5865914543027444, -0.15165482703055677], [0.1736384734650257, 0.21071581764970515]]"
Arise - Run Run Run,vocals,13.688470220365563,5.677874352896794,7.403470605747575,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4386095958925184, 0.20964569780095033], [0.18408500812823364, 0.4738278261383332]]"
BKS - Bulldozer,bass,12.695540799590093,7.960427018135978,7.26322281961098,"[[4.0, 20.0], [-16.0, -3.0]]","[[0.769655154924725, 0.03788445028155205], [0.42569289868201826, 0.4257076131467872]]"
BKS - Bulldozer,drums,19.493981526425294,10.617622352706062,7.6648900762791445,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7000273393970855, 0.2071461538989991], [0.12365560168182159, 0.7997573390295444]]"
BKS - Bulldozer,other,12.566920426645385,3.9115806275222913,7.660568636116889,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7681383400485893, -0.0056332571953768215], [0.01365803636976226, 0.7605467995727729]]"
BKS - Bulldozer,vocals,14.625902387705693,5.558888122375427,5.1273409505131315,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8887559194013398, -0.034157213738900266], [-0.03512407194806712, 0.8810392166701789]]"
BKS - Too Much,bass,19.725693666137964,11.420814990152746,6.439696536770911,"[[0.0, 13.0], [-13.0, 0.0]]","[[0.7487223108324355, 0.1981506748876545], [0.16497721535561424, 0.7702767624285455]]"
BKS - Too Much,drums,16.032863875990632,8.535846889772964,7.569008981280827,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8034966035506832, 0.04771685787189556], [0.014079742772450742, 0.8337013447345233]]"
BKS - Too Much,other,14.20405147111888,5.351708737981248,7.5974742093042895,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7808584348130077, -0.0009724622809134205], [-0.002273031192569543, 0.8306216165620043]]"
BKS - Too Much,vocals,18.455610507951416,9.755691072871555,4.445588906688011,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8072594202355999, 0.045236413574640616], [0.05413001456686643, 0.7885110588209515]]"
Ben Carrigan - We'll Talk About It All Tonight,bass,17.85718171178724,8.590767566282539,4.745771408651544,"[[-4.0, -4.0], [-4.0, -4.0]]","[[0.43473747895122694, 0.0], [0.4368712110317179, 0.0]]"
Ben Carrigan - We'll Talk About It All Tonight,drums,10.794561229763218,5.564978934801422,2.5057478018485457,"[[0.0, 0.0], [0.0, 0.0]]","[[0.42420671087387807, 0.025599039837418833], [0.0, 0.2886400870509472]]"
Ben Carrigan - We'll Talk About It All Tonight,other,16.42291059403585,6.1834539819836065,5.775834835320323,"[[0.0, 1.0], [-1.0, 0.0]]","[[0.883653645184197, -0.03150641549334959], [-0.008278547911802103, 0.8470230606766488]]"
Ben Carrigan - We'll Talk About It All Tonight,vocals,5.299819383427244,-0.3201050138829098,3.293445272771749,"[[0.0, 0.0], [0.0, 0.0]]","[[0.3760344005276378, 0.0], [0.008848654328094435, 0.35147199208139046]]"
Bobby Nobody - Stitch Up,bass,14.579570343567418,5.823651525944199,8.549180445327295,"[[0.0, 4.0], [-7.0, -3.0]]","[[0.6793313193546546, 0.1206072765713633], [0.4542289861527887, 0.39973946429141716]]"
Bobby Nobody - Stitch Up,drums,10.024231262431037,4.930599966073766,6.1180683774479085,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6430073518808272, 0.02145222893143281], [-0.03074090389715587, 0.7329439162439481]]"
Bobby Nobody - Stitch Up,other,10.678093174759763,2.6755113620171445,10.481975550671745,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6879289593311563, 0.01807744956181348], [-0.0226175900823352, 0.7804957508423536]]"
Bobby Nobody - Stitch Up,vocals,17.245880791284893,8.084551458396856,5.993909208567636,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8421190044485573, 0.0], [0.010085516354758826, 0.8173848277806897]]"
Buitraker - Revo X,bass,18.427028273250805,8.138216864302047,9.121676333036616,"[[4.0, 6.0], [-5.0, -2.5]]","[[0.40706969824219214, 0.4164508916365317], [0.40026998778394596, 0.47654050004011894]]"
Buitraker - Revo X,drums,17.20424951824488,11.116062138200775,9.04258356854412,"[[0.0, 6.0], [-7.0, 0.0]]","[[0.8136071135947089, 0.08208794547256372], [0.08006700294736518, 0.7800504432725965]]"
Buitraker - Revo X,other,12.09449029133814,4.652467373561857,9.82219654846314,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7510559914643432, -0.04154575938988957], [-0.04076842172122962, 0.7555462665996842]]"
Buitraker - Revo X,vocals,11.536611125596718,2.9637722327388234,6.5276576584194945,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6069748621952817, 0.07227920396766664], [0.06957112365911973, 0.6350806727830658]]"
Carlos Gonzalez - A Place For Us,bass,1.2927988113052147,-10.200928988748291,2.4220189520143847,"[[0.0, 0.0], [0.0, 0.0]]","[[0.1174932908874017, 0.11749340941565543], [0.11671250280741118, 0.11671365788470613]]"
