,,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,0.5720637548747276,-7.027947723914467,20.668125330006518,"[[-1.0, -2.0], [-1.0, 2.5]]","[[0.3379422164289496, 0.19771275549543854], [0.24319169078490085, 0.3300986591429749]]"
AM Contra - Heart Peripheral,drums,11.610290104325859,3.2522885704049873,12.001575763627963,"[[0.0, -4.5], [3.0, 0.0]]","[[0.7115041018578996, 0.024179894585490955], [0.038938269732369836, 0.722170845517109]]"
AM Contra - Heart Peripheral,other,0.972740971576533,-9.038216850643948,7.301006629685988,"[[0.0, 0.0], [0.0, 0.0]]","[[0.12419919744431362, -0.009692905400711663], [-0.014585528580677066, 0.11498055047437003]]"
AM Contra - Heart Peripheral,vocals,17.63618055153092,7.168182844601644,8.114892001978179,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7693801031786779, 0.09672693536212001], [0.08898513681917544, 0.8112334456638726]]"
Al James - Schoolboy Facination,bass,9.14595386705186,4.2536583191050585,8.707832813543515,"[[-0.5, -1.0], [-1.0, -1.0]]","[[0.14137368732036004, 0.4339199498058774], [-0.30890957370416205, 0.9916312917998213]]"
Al James - Schoolboy Facination,drums,8.170004785031477,1.339743795397939,9.002331917358791,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6411363904607932, -0.023003407568585554], [0.05681921112530357, 0.5680191544745068]]"
Al James - Schoolboy Facination,other,10.511816150852987,-0.41669361928917403,14.582386161943957,"[[0.0, 0.5], [-18.0, 0.0]]","[[0.6576762293377454, 0.019725882379602912], [0.008310197885947078, 0.7364557734326075]]"
Al James - Schoolboy Facination,vocals,12.459688918531088,5.8782898718044105,10.897802686357961,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7549478099126432, 0.031150313448578958], [0.04555083305804568, 0.682260558463708]]"
Angels In Amplifiers - I'm Alright,bass,11.022967530811968,3.203824350448955,9.908513380812746,"[[0.5, -4.0], [5.5, 0.0]]","[[2.6160992483202703, -2.0789075057392603], [3.086987153882659, -2.5544859233186523]]"
Angels In Amplifiers - I'm Alright,drums,11.013907182827433,4.361404975478049,9.916525321014706,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5547411293386013, 0.1977905425792474], [0.10764434700454398, 0.6671911638976242]]"
Angels In Amplifiers - I'm Alright,other,12.12322919338477,4.537384879104178,13.656411207117598,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6624621278547738, 0.030274658707396374], [-0.009039529354769949, 0.822671345704177]]"
Angels In Amplifiers - I'm Alright,vocals,15.736115373435206,8.1328282213044,9.080700701886915,"[[0.0, 0.0], [1.0, 0.0]]","[[0.8591801490486897, -0.0015798399413018463], [0.003114251289044789, 0.8385565785509924]]"
Arise - Run Run Run,bass,21.115080912565073,0.5051447547348158,33.393434991684025,"[[2.0, -1.0], [3.0, 1.0]]","[[0.9369606288403913, -0.0026424993835925392], [0.06851355586740085, 0.8758509374767811]]"
Arise - Run Run Run,drums,16.022919564088145,2.017083018659283,14.005650202182185,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8807861858202055, -0.024630539973756208], [-0.0031148084952944215, 0.8429219897342601]]"
Arise - Run Run Run,other,0.42135812021162455,-8.057722808515818,5.477649961448989,"[[0.0, 1.0], [-1.0, 0.0]]","[[0.08480570539887977, -0.03062994354895891], [0.006782253928884264, 0.019835078541489425]]"
Arise - Run Run Run,vocals,14.01987195651214,2.979929489471918,10.426958797665982,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5050086347055748, 0.12148058226797812], [0.0466166633647197, 0.6069827009494115]]"
BKS - Bulldozer,bass,12.08222535291478,6.292799756554279,8.307513253966908,"[[0.0, 22.0], [-21.0, 0.0]]","[[0.7107424729550149, 0.1101419931364072], [0.3047250229316358, 0.4537136441280787]]"
BKS - Bulldozer,drums,18.645610470362428,8.971830373339161,9.615030961694776,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7533876743228698, 0.13367707582732594], [0.09873644611100356, 0.8051604239095623]]"
BKS - Bulldozer,other,9.76683214834212,2.8331158660828653,7.71666637778367,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6534953485977278, 0.00857234769847201], [0.0007118949770990437, 0.6949788992078815]]"
BKS - Bulldozer,vocals,11.719559605179954,3.5848023325602933,5.015053873275126,"[[0.0, 0.0], [-1.0, 0.0]]","[[0.729396392674897, -0.03706797934122822], [-0.03236059868794828, 0.7517826693224027]]"
BKS - Too Much,bass,17.997648437468566,8.971559876760102,8.05426435553982,"[[0.0, 13.0], [-14.0, 0.0]]","[[0.7362412912032186, 0.11363430997985038], [0.018940826093762703, 0.8549019950016961]]"
BKS - Too Much,drums,13.149319509712443,6.330202778535553,8.470079123243861,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7503282823117077, 0.021777124891909506], [0.014349139262716791, 0.7644858251983799]]"
BKS - Too Much,other,10.76833478671044,4.0792338377616275,8.07412112330723,"[[0.0, 1.0], [-2.0, 0.0]]","[[0.6727834030948531, 0.002820413877227109], [-0.0014091922689719442, 0.7490014644058717]]"
BKS - Too Much,vocals,18.235196266074496,8.465712612765769,5.675185158592195,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8186894011452107, 0.0], [0.0035741191255936624, 0.7770230558459539]]"
Ben Carrigan - We'll Talk About It All Tonight,bass,12.080769252717399,4.196149398582424,7.193945785663958,"[[-3.0, -3.0], [-3.0, -3.0]]","[[0.3603018337193248, 0.0], [0.35774496276539447, 0.0]]"
Ben Carrigan - We'll Talk About It All Tonight,drums,11.39564485191151,4.559859365395171,3.243997819088462,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4445195640284337, 0.0], [0.0, 0.37276817921760663]]"
Ben Carrigan - We'll Talk About It All Tonight,other,11.359465614912459,3.5778537646304924,8.1841429772817,"[[0.0, 0.0], [-1.0, 0.0]]","[[0.7991325420641591, -0.05366054767654732], [0.0, 0.6819858745078878]]"
Ben Carrigan - We'll Talk About It All Tonight,vocals,3.1780278821803583,-0.623158087705292,3.046838035530226,"[[0.0, 0.0], [0.0, 0.0]]","[[0.18800886006493256, 0.0], [0.0, 0.2712277477408264]]"
Bobby Nobody - Stitch Up,bass,15.448588974177266,3.4932167305870663,11.757136892742281,"[[-1.0, 6.0], [-8.0, -1.0]]","[[0.8125626546818038, 0.016305192138037015], [0.18496565662304837, 0.5906165546484143]]"
Bobby Nobody - Stitch Up,drums,12.22262989699607,3.7886104356194554,7.391056531106283,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7165268298036167, 0.02446786317152312], [-0.002882316453161975, 0.7833530533747961]]"
Bobby Nobody - Stitch Up,other,5.161219891893648,0.5120289243094929,8.945862150299252,"[[0.0, 0.0], [0.0, 0.0]]","[[0.40172483022463845, 0.029442492351013722], [-0.04204036443741345, 0.5750079993258332]]"
Bobby Nobody - Stitch Up,vocals,14.744473511760688,6.576592588050954,6.802704515910527,"[[0.0, 0.0], [0.0, 0.0]]","[[0.772949881495611, 0.01580841328288337], [0.01167370870359993, 0.746231077160755]]"
Buitraker - Revo X,bass,14.955366779825582,5.9991327506306416,10.323966961505114,"[[0.0, 8.0], [-9.0, 0.0]]","[[0.4293585541037106, 0.3819568052441355], [0.3798153249040282, 0.4277265563374852]]"
Buitraker - Revo X,drums,14.090917386075414,10.799379970927644,9.345882800356797,"[[0.0, 16.0], [-22.0, 0.0]]","[[0.7623204336857781, 0.10476940090869274], [0.16252026178435786, 0.6428160956534452]]"
Buitraker - Revo X,other,8.720277853220244,2.855397785901882,10.381144995146716,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6286771086536966, -0.029689017972031752], [-0.021631414122230214, 0.6381589482727534]]"
