,,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,0.00037432328810692013,-7.381406825964446,18.022034381111716,"[[-2.0, -1.5], [-1.0, 1.5]]","[[0.29085594214902466, 0.12781178953949968], [0.09324806126756008, 0.3476943253940949]]"
AM Contra - Heart Peripheral,drums,11.381821957544297,2.8962262222587833,11.777345365577656,"[[0.0, -7.0], [5.0, 0.0]]","[[0.6540799782126909, 0.09794634384510312], [0.12531052691840966, 0.6777657132788508]]"
AM Contra - Heart Peripheral,other,1.5406459813193685,-8.26869273321142,9.22946406512288,"[[0.0, 0.0], [0.0, 0.0]]","[[0.18970927120079564, -0.01891647434060391], [-0.021881235807484606, 0.18344752561683186]]"
AM Contra - Heart Peripheral,vocals,20.33457924267219,8.625953901090163,7.153655807443519,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8369927858012026, 0.06225025904437625], [0.04296491459304337, 0.864046273706755]]"
Al James - Schoolboy Facination,bass,10.154914352389447,4.5892133358563605,9.151362165181368,"[[0.0, -1.0], [-1.0, -1.0]]","[[0.2981662738077311, 0.36974783584591786], [-0.27975904823548897, 0.998612910977755]]"
Al James - Schoolboy Facination,drums,8.61067005645749,1.8375899742613853,8.710508971662446,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5749331388628625, 0.03476548865890697], [0.055110603444687996, 0.5734080379713671]]"
Al James - Schoolboy Facination,other,9.322804485106538,0.708836448032813,11.959600500972149,"[[0.0, 6.5], [-36.0, 0.0]]","[[0.6480979989904028, -0.0052195125452787735], [0.02010675453651591, 0.6701041769269966]]"
Al James - Schoolboy Facination,vocals,14.342458056999158,6.467125280296045,11.094277066743858,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8173428286126416, 0.006406819362197673], [0.02467319316872945, 0.7881441500789019]]"
Angels In Amplifiers - I'm Alright,bass,11.42088898797849,3.4329860984549017,9.654595745290116,"[[0.0, -4.0], [5.0, 1.0]]","[[3.4597012983212023, -2.896125367204334], [3.4170790969668965, -2.926606793456285]]"
Angels In Amplifiers - I'm Alright,drums,9.801078571575825,3.755354923795456,9.884691648804502,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5257310351922171, 0.1815799356738905], [0.1149449815725049, 0.6022674775670337]]"
