,,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,10.669170116147514,-3.3105803631488873,84.01756453134391,"[[-3.0, -2.5], [-2.0, -2.5]]","[[0.4460613270894703, 0.30377255271608145], [0.305759707748973, 0.45232813803169714]]"
AM Contra - Heart Peripheral,drums,13.166665793514275,5.009793476339572,50.71511592916024,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7223619485346212, 0.08632495752743663], [0.09031457038433788, 0.7213719795459732]]"
AM Contra - Heart Peripheral,other,1.5341978683409412,-7.94051517532524,38.04426355951655,"[[0.0, 0.0], [0.0, 0.0]]","[[0.1821743704834056, -0.003948011339271579], [-0.02644464329033385, 0.18720906433173912]]"
AM Contra - Heart Peripheral,vocals,18.646329191016886,9.454798497475501,30.726907673378374,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8414039768765407, 0.0472763204168561], [0.04969426970370862, 0.8516801163327383]]"
Al James - Schoolboy Facination,bass,14.638427537183054,8.083969696441299,30.224856521555292,"[[-1.0, 0.0], [-1.0, -1.0]]","[[0.2507978520715884, 0.5685045610113373], [0.1523193185913563, 0.6959334252831928]]"
Al James - Schoolboy Facination,drums,12.009897955291613,4.1016068630606375,33.89416702993071,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7519206074478405, 0.028365586669031724], [0.10169018288996119, 0.6637340201638751]]"
Al James - Schoolboy Facination,other,11.554058522100206,0.16347956625125526,53.626523999342695,"[[0.0, 101.0], [-374.0, 0.0]]","[[0.7032789577533075, 0.017573048084899196], [-0.01203646225205739, 0.7504062684373128]]"
Al James - Schoolboy Facination,vocals,11.960120994146875,6.113574849759782,44.8977955866486,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7171447697153521, 0.07503587249661135], [0.13636967950281753, 0.6396625422207592]]"
Angels In Amplifiers - I'm Alright,bass,17.504037748035827,7.207779974889348,29.728698314669174,"[[1.0, 0.0], [6.0, 5.0]]","[[2.787750008166916, -1.9908765641302355], [3.143437726613948, -2.3833446480406733]]"
Angels In Amplifiers - I'm Alright,drums,8.998151306677272,4.8897950845600455,33.21538700943123,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4412749104668533, 0.26245071976090156], [0.12929445044422933, 0.5984526181389515]]"
Angels In Amplifiers - I'm Alright,other,17.897774004170614,6.653716518161161,48.51682341582588,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8533474670725233, 0.013741612017224705], [-0.0016282635244417596, 0.8825367047488685]]"
Angels In Amplifiers - I'm Alright,vocals,20.24675810210296,9.663823223032708,32.837154121185094,"[[0.0, 0.0], [0.0, 0.0]]","[[0.902933550420338, 0.012495938958834815], [0.005791456405272137, 0.9016552297154335]]"
Arise - Run Run Run,bass,22.241910853759563,3.5876544190889947,97.94043441040708,"[[2.0, -2.0], [3.5, 0.0]]","[[0.8172613515235375, 0.12486765292859078], [0.08624881617027991, 0.838141627850918]]"
Arise - Run Run Run,drums,18.698330914012963,2.1350149324833,61.874604912063134,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8484665317213451, 0.02608584103957364], [-0.03306480337618264, 0.9364214675355907]]"
Arise - Run Run Run,other,4.187773469443796,-0.14037485021836466,67.63244297352087,"[[0.0, 1.0], [-1.0, 0.0]]","[[0.5926143745547776, -0.16089372655965606], [0.16914090524291497, 0.2202779370084283]]"
Arise - Run Run Run,vocals,14.81804077010801,6.737451070810181,35.721228197625386,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4612101636387562, 0.3667418792863183], [0.17252327429541447, 0.6506186005918774]]"
BKS - Bulldozer,bass,13.008072390811071,7.4169577094405135,31.033199107123934,"[[4.0, 19.0], [-16.0, -3.0]]","[[0.7801957385308528, 0.03236464170106329], [0.4305847608331317, 0.4356630567278382]]"
BKS - Bulldozer,drums,19.023295992181676,9.932606810523028,36.24015144536469,"[[0.0, 0.0], [0.0, 0.0]]","[[0.730636031698285, 0.19484705138432742], [0.126439967912141, 0.8012665240577683]]"
BKS - Bulldozer,other,12.754180918130011,3.6875908533206347,42.057211129731364,"[[0.0, -1.0], [1.0, 0.0]]","[[0.7804740268476049, -0.011130886888311178], [0.006805570723914875, 0.763402194397574]]"
BKS - Bulldozer,vocals,14.127399318932232,7.404826435764514,24.16290702722558,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7939484152801197, -0.09177960574762906], [-0.07834351808128776, 0.8689199390347553]]"
BKS - Too Much,bass,20.409720164587803,11.184612699321146,27.764474449116545,"[[0.0, 13.0], [-13.0, 1.0]]","[[0.7525370113592407, 0.2058714982664734], [0.18054679722833689, 0.7722490423931181]]"
BKS - Too Much,drums,16.37390833641077,8.211652036230486,30.30473139268534,"[[0.0, 0.0], [0.0, 0.0]]","[[0.79189900786158, 0.052500798587368315], [0.01678427211902811, 0.8460540565272157]]"
BKS - Too Much,other,13.35868172181872,4.765100845521462,31.26790728956864,"[[0.0, 0.0], [-1.0, 0.0]]","[[0.780325387190745, -0.011819901562715018], [-0.008940909519513407, 0.8268400199591741]]"
BKS - Too Much,vocals,20.76929500167605,10.779184261658074,24.7504147011324,"[[0.0, 0.0], [0.0, 0.0]]","[[0.866311462505421, 0.07045486175596632], [0.08799444520242436, 0.8339084996986943]]"
Ben Carrigan - We'll Talk About It All Tonight,bass,21.432888930302674,9.915245090547874,20.689949026585097,"[[0.0, 0.0], [0.0, 0.0]]","[[0.4585553216850652, 0.22647036060066808], [0.4582700016552129, 0.22633742523551517]]"
Ben Carrigan - We'll Talk About It All Tonight,drums,14.140287028706165,7.127769848793913,28.714743700500733,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6839854086494657, 0.11166802119921956], [-0.07810656568513807, 0.9216280633176679]]"
Ben Carrigan - We'll Talk About It All Tonight,other,14.844762402416766,4.646252647667884,34.302092083680144,"[[0.0, 0.5], [-0.5, 0.0]]","[[0.8611268463369163, -0.05259850927811452], [-0.02768657365625038, 0.8463657430419169]]"
Ben Carrigan - We'll Talk About It All Tonight,vocals,9.431132176091925,3.394867403814528,24.06196217092456,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5701779478166653, 0.10071910746177098], [0.1021869851279167, 0.5777323775887603]]"
Bobby Nobody - Stitch Up,bass,17.654057042917266,5.069865344114996,38.54197812139299,"[[0.5, 4.0], [-7.0, -3.0]]","[[0.681026203273724, 0.2187064532873549], [0.46527313982296464, 0.45267113611828325]]"
Bobby Nobody - Stitch Up,drums,10.486948009256027,5.111986628866283,23.554862080017102,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6613342195063645, 0.026469861146638338], [-0.04831237132432203, 0.757060307366319]]"
Bobby Nobody - Stitch Up,other,10.988280898986257,2.931184240527333,43.313706015280786,"[[0.0, 0.0], [0.0, 0.0]]","[[0.744916299710406, -0.041831587052995875], [-0.0018405289739489867, 0.7235242812401472]]"
Bobby Nobody - Stitch Up,vocals,18.28270720629125,8.596594027408823,24.980423466031226,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8692131080966763, 0.015540607580669306], [0.03275963821967565, 0.8525826717074807]]"
Buitraker - Revo X,bass,19.051556344454355,7.767995821426229,38.57825138459744,"[[5.0, 6.0], [-4.0, -2.0]]","[[0.4461263537142125, 0.47668899698557665], [0.3726471051044012, 0.551096086456278]]"
Buitraker - Revo X,drums,17.345883522714402,10.918211436189965,35.96166832776199,"[[0.0, 3.5], [-3.5, 0.0]]","[[0.8370943805240079, 0.07924890570200185], [0.0797628849105155, 0.7877818258079947]]"
Buitraker - Revo X,other,11.593744147769492,4.277683443566568,41.2371380031997,"[[0.0, 0.0], [-4.0, 0.0]]","[[0.7405168282952603, -0.06659791746793466], [-0.07707272275347574, 0.7532971124203505]]"
Buitraker - Revo X,vocals,12.278518140022348,3.9204633827893822,29.127903576538223,"[[0.0, 0.0], [0.0, 0.0]]","[[0.699927021336782, 0.08388641421260715], [0.0676889733914186, 0.7378422315342228]]"
Carlos Gonzalez - A Place For Us,bass,3.4521662386376324,-3.237178384394272,19.871541100393813,"[[0.0, -0.5], [0.0, -0.5]]","[[0.16676909421858455, 0.1667690942185845], [0.1671166359742181, 0.16711663597421808]]"
Carlos Gonzalez - A Place For Us,drums,12.58039707588879,5.626888082693,31.27749996867834,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7661264186806, 0.021136882664049915], [0.03970281941999905, 0.6960475416880898]]"
Carlos Gonzalez - A Place For Us,other,15.48253456590285,5.285411668758714,49.254511501123574,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8456546731870731, -0.01606107261827429], [-0.02006763031057586, 0.850841176656133]]"
Carlos Gonzalez - A Place For Us,vocals,10.147872972551543,4.762328394080216,37.6710434135816,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6545879537852761, 0.10458985070388097], [0.08468482587889353, 0.6496384582930301]]"
Cristina Vane - So Easy,bass,10.985723114469067,4.045717933475824,31.51125023728174,"[[1.0, 7.0], [-7.0, -2.0]]","[[0.6124404551130841, 0.09582244817896343], [0.32042634904354794, 0.4185176983461507]]"
Cristina Vane - So Easy,drums,18.687986863979496,10.142389367942064,32.65778376779392,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8448156213476958, 0.0412939278469672], [0.043878437115280465, 0.8437329613227813]]"
Cristina Vane - So Easy,other,13.203797617035978,2.7386400871502206,46.264586666016,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7691524143582782, 0.025688229123571528], [0.0356629489362906, 0.7573086770302198]]"
Cristina Vane - So Easy,vocals,17.19562445142058,9.007612568884216,29.945033637263514,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8673076988917241, 0.01370227750043486], [0.00016316709545009778, 0.8660051122068797]]"
Detsky Sad - Walkie Talkie,bass,3.773455731302372,-1.4164383218403973,18.385338633419167,"[[-2.0, -2.0], [-2.0, -2.0]]","[[12.315919754830709, -12.069787276981284], [11.093980400096417, -11.008039244095642]]"
Detsky Sad - Walkie Talkie,drums,8.78374369786922,3.685451029843478,67.56948160069555,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5923538725086871, 0.042792888892722286], [0.012853515734253501, 0.7012799797253992]]"
Detsky Sad - Walkie Talkie,other,13.973525845877571,-1.1719189604823468,80.25471515865382,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7749083081565618, 0.013084840642700213], [-0.0002685797698911323, 0.8095665426015839]]"
Detsky Sad - Walkie Talkie,vocals,15.834873848763484,4.12215662962433,37.92314965598609,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8605626358545093, 0.02434705622543146], [0.1598091373911395, 0.6833598053162575]]"
Enda Reilly - Cur An Long Ag Seol,bass,18.689510297978018,-0.8904391647576337,107.90837524005613,"[[0.5, 0.5], [0.5, 0.5]]","[[0.8330426714680779, 0.13482787729627388], [3.305142794185553, -2.338920399406211]]"
Enda Reilly - Cur An Long Ag Seol,drums,0.6437881331138002,-3.619377676016266,21.017044873230176,"[[0.0, -2.0], [-1.0, 0.0]]","[[0.35338822598874203, -0.30443667673900016], [-0.3175663967529828, 0.3718460110763936]]"
Enda Reilly - Cur An Long Ag Seol,other,18.863824321849158,5.897876758487675,41.918585150629205,"[[0.0, -1.5], [1.5, 0.0]]","[[0.8996183785788079, -0.021871106191190846], [-0.01402565889711252, 0.8894540221898437]]"
Enda Reilly - Cur An Long Ag Seol,vocals,22.022572233547162,10.492057331852912,31.42614319878775,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9043127848330257, 0.020036964888503782], [0.04323970892391282, 0.876812293955393]]"
Forkupines - Semantics,bass,11.528850268725568,5.5198905794256765,29.21079789608077,"[[1.0, 11.0], [-5.0, 3.0]]","[[0.7371925799466139, 0.04384281848264039], [0.2404220606316344, 0.5081742530788778]]"
Forkupines - Semantics,drums,19.163538381222565,10.733675364728532,44.0748873381839,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6561803893253316, 0.26366193270755134], [0.22026165755244043, 0.696499581737483]]"
Forkupines - Semantics,other,12.084716513945928,4.369739241926327,45.646633913411506,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7792109518819859, -0.04534532619990478], [-0.03875037215172582, 0.7762964446947176]]"
Forkupines - Semantics,vocals,12.531190079533769,5.469607188108482,27.05366958241987,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8057046726452557, 0.0], [0.0, 0.7829499571615464]]"
Georgia Wonder - Siren,bass,15.40619787244477,9.624713322492429,28.38025458568076,"[[-4.0, -15.5], [17.5, 8.0]]","[[0.7754023243918802, 0.19462907233885737], [0.13028108836297664, 0.7771384295646866]]"
Georgia Wonder - Siren,drums,16.290012907630146,8.146080115985647,36.7236170212995,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9049253532659611, -0.027461175412401045], [0.04044747923338794, 0.7807070902261863]]"
Georgia Wonder - Siren,other,12.327889989135635,4.364778478701032,41.09399442584704,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7543939265298301, -0.0024690010549875156], [-0.014701508153823768, 0.7597880405763033]]"
Georgia Wonder - Siren,vocals,11.533731395631039,4.434101634111102,41.8752163090093,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7403063296621798, 0.0], [0.0, 0.7533568716282653]]"
Girls Under Glass - We Feel Alright,bass,5.965344142765883,0.8003181987528132,49.90279262810475,"[[1.0, -1.0], [2.0, 1.0]]","[[0.4663699204405894, 0.05748898219303134], [0.05472478548134461, 0.470441187436305]]"
Girls Under Glass - We Feel Alright,drums,16.55478628212589,6.0863434516947725,57.711435256217825,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6958131914301964, 0.19266727391666486], [0.2379109054391461, 0.6455593155050027]]"
Girls Under Glass - We Feel Alright,other,17.468306829351775,4.194853437941816,55.66312495020448,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8936838202582937, -0.034295691476318245], [-0.01397653202876931, 0.8394791461311316]]"
Girls Under Glass - We Feel Alright,vocals,10.952493451816931,4.311542398628195,22.02493371196143,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5082305256779495, 0.162068064936145], [0.13117778517789436, 0.5796427430803652]]"
Hollow Ground - Ill Fate,bass,14.5038828278689,-0.1798716352366847,91.0255429453045,"[[1.0, -9.0], [11.0, -1.0]]","[[0.6768890074843668, 0.19245643401886509], [-0.0492851385290191, 0.90731229090836]]"
Hollow Ground - Ill Fate,drums,11.970348307761755,4.601707851347373,40.33159713791068,"[[0.0, 0.0], [0.0, 0.0]]","[[0.830078555565822, -0.0960826029772101], [0.09995400191350368, 0.5924600533202846]]"
Hollow Ground - Ill Fate,other,6.344515889203807,3.34184211222875,60.29958109869284,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5252587888623054, -0.02715021501903102], [-0.06340729571447203, 0.5930850709015942]]"
Hollow Ground - Ill Fate,vocals,16.42820474507651,6.856544128108785,25.336378127343444,"[[0.0, 0.0], [0.0, 0.0]]","[[-6.885551749153345, 7.805611742505843], [0.7629636332591679, 0.15739518817812093]]"
James Elder & Mark M Thompson - The English Actor,bass,10.487147665289918,3.7940894421770865,24.971766442085833,"[[4.0, 27.0], [-32.0, -8.0]]","[[0.8839727567124926, -0.08868938464384755], [0.40187104648272987, 0.24280449223112036]]"
James Elder & Mark M Thompson - The English Actor,drums,15.462704105301485,7.636212251363444,27.54785743741926,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7404842931613785, 0.07985404559628702], [0.07130686535078867, 0.8111145608088669]]"
James Elder & Mark M Thompson - The English Actor,other,17.606632803543665,4.844512110502516,53.24643277593854,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8379885067466725, 0.01584041279588742], [-0.023072319353010923, 0.8943636774776069]]"
James Elder & Mark M Thompson - The English Actor,vocals,12.264336130204844,5.605480898443745,39.94210232245313,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7204149686993007, 0.09006021920098833], [0.11409516337773525, 0.7115238659672923]]"
Juliet's Rescue - Heartbeats,bass,9.17411905111453,2.970428576520912,27.199920572113562,"[[-2.0, -2.0], [-1.0, -1.0]]","[[0.45874469750154434, 0.19602679302904388], [-0.05398563330610089, 0.5147166036816536]]"
