,,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,8.333413933212658,2.8639489985820323,36.15144655377992,"[[2.5, 3.5], [2.0, 2.0]]","[[0.379595031482438, 0.2594671684108876], [0.2707871477242908, 0.36864592364985227]]"
AM Contra - Heart Peripheral,drums,21.57831967794765,8.328125390316188,42.50415828558677,"[[0.0, -2.0], [10.0, 0.0]]","[[0.8868278558018559, 0.04459856948439857], [0.04127758186774952, 0.8925096694916689]]"
AM Contra - Heart Peripheral,other,14.318864544221302,4.679384904889117,44.849922810885495,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8542753584449803, -0.02952464501859073], [0.006017310345397963, 0.8328450989814739]]"
AM Contra - Heart Peripheral,vocals,23.073047380438748,11.634308216962697,25.034602357543186,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8738391258704203, 0.06683264296405213], [0.042508308177094375, 0.90691481971675]]"
Al James - Schoolboy Facination,bass,22.170204809894507,10.739066998990053,23.23608275788036,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6332697921096302, 0.3016589357933188], [0.205522379604619, 0.7377539340339243]]"
Al James - Schoolboy Facination,drums,14.478150814484401,-0.1106908320941172,57.65509985482085,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7883850497098459, 0.050529649511604324], [0.13640598704335505, 0.6972039712686477]]"
Al James - Schoolboy Facination,other,8.22316410346593,2.778746779118152,36.18674665118822,"[[0.0, 104.0], [0.0, 0.0]]","[[0.6109869638702536, -0.026861205193671182], [-0.007292161082759791, 0.6206589248068772]]"
Al James - Schoolboy Facination,vocals,19.216425832288706,8.307951249592527,40.52098349927955,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8604899506574981, 0.058683870640050526], [0.06224144586481556, 0.8476071679206193]]"
Angels In Amplifiers - I'm Alright,bass,19.37471571879904,9.404767031942828,23.36122193172357,"[[-1.0, -1.0], [4.0, 4.0]]","[[2.428300668212432, -1.6084565871961976], [2.549312219324191, -1.7047510866718]]"
Angels In Amplifiers - I'm Alright,drums,14.496727884442997,3.0809406552690275,48.44390432091759,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6855912122169978, 0.1881155212111759], [0.1401604950932866, 0.7459632246523836]]"
Angels In Amplifiers - I'm Alright,other,18.345020136684166,8.239156380697485,39.80624988800464,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8497094498261082, 0.009326367154494596], [4.739915727207551e-05, 0.8892025768578918]]"
Angels In Amplifiers - I'm Alright,vocals,21.505847786943608,10.861171321220384,29.362397415790614,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9115894696044788, 0.011112621619246641], [0.004187438168052824, 0.9120674942451509]]"
Arise - Run Run Run,bass,24.420615572202045,13.554904206241028,31.070557465169205,"[[0.5, -1.0], [2.5, 1.0]]","[[0.7960506222369206, 0.15398609977469813], [0.08318014781893704, 0.8681376248197764]]"
Arise - Run Run Run,drums,25.944374170664894,4.063761008601236,52.93603652185372,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9480510269968359, 0.008909486268404364], [0.006573851208041139, 0.9426528559918675]]"
Arise - Run Run Run,other,25.065695767393834,12.624000959877584,36.20144101371948,"[[0.0, 0.0], [0.0, 0.0]]","[[0.9214108104950508, 0.027861773961351345], [-0.021772256895710884, 0.9619021784572696]]"
Arise - Run Run Run,vocals,22.468861176757187,10.812331500581221,26.004811286141603,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8553074550781166, 0.07431665525894923], [0.11646662808211167, 0.7977846699503421]]"
