,,SSR,SRR,cost,shift,scale
AM Contra - Heart Peripheral,bass,7.891467690927561,-4.5805817234006625,83.64383662556459,"[[1.0, 0.0], [1.0, 0.5]]","[[0.4096410834810249, 0.20779380254377233], [0.26020008971451525, 0.3574606807761209]]"
AM Contra - Heart Peripheral,drums,11.511939879967471,3.119998589554559,59.63253203626683,"[[0.0, -18.5], [9.5, 0.0]]","[[0.709933696167961, 0.029739996228359565], [0.07087558644450442, 0.7106569261150915]]"
AM Contra - Heart Peripheral,other,1.0248274608287007,-9.950251342501053,29.577318590450595,"[[0.0, 0.0], [0.0, 0.0]]","[[0.11353302478538839, -0.011509759934702123], [-0.016769665109981968, 0.11735946340094208]]"
AM Contra - Heart Peripheral,vocals,17.290879325505312,7.724184725977771,37.07640232276565,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7785383174500408, 0.09918956713245701], [0.09688215134486741, 0.8204648918533128]]"
Al James - Schoolboy Facination,bass,9.155991445780213,3.668357903065631,38.18348315929952,"[[0.0, -1.0], [0.0, -1.0]]","[[0.21609876019824067, 0.4432903239364488], [-0.31763322402285327, 0.9248333319512554]]"
Al James - Schoolboy Facination,drums,8.139772878004246,1.3985932233590006,36.896593651358664,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5954147580119488, 0.009118824261197526], [0.04231439865379382, 0.558068511813742]]"
Al James - Schoolboy Facination,other,10.690916477166418,-1.037776940951476,61.7305756137955,"[[0.0, 53.0], [-373.0, 0.0]]","[[0.681544834452878, 0.01959550607600267], [-0.02833102192037309, 0.7423757747326011]]"
Al James - Schoolboy Facination,vocals,11.566767676896959,5.04175926369464,49.285126016116564,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7280091264565766, 0.04934270547296616], [0.09968368168300525, 0.6491320809847954]]"
Angels In Amplifiers - I'm Alright,bass,12.035823675507626,2.7120380979798235,39.202285180255984,"[[0.0, -5.0], [5.0, 0.0]]","[[4.251755221115209, -3.649110181987252], [4.008504014069877, -3.4539042462513696]]"
Angels In Amplifiers - I'm Alright,drums,11.109072031505011,4.138622205316084,38.45830514167918,"[[0.0, 0.0], [0.0, 0.0]]","[[0.5705223616038583, 0.20017440962879618], [0.11154856234016464, 0.6916754619883119]]"
Angels In Amplifiers - I'm Alright,other,12.145793628425817,4.413544547145888,54.51597008727113,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6832404210261989, 0.022543454501737826], [-0.023573310800730277, 0.803332095115847]]"
Angels In Amplifiers - I'm Alright,vocals,17.75866160988731,8.916332454035896,34.2881889832037,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8893938852807793, -0.007588536221689057], [0.0006361675131544344, 0.847797303869359]]"
Arise - Run Run Run,bass,22.36145577687956,1.0004039670915397,126.06014153076734,"[[1.0, -1.0], [3.0, 1.0]]","[[0.9288298589776677, 0.0004678921921283074], [0.09562892589294239, 0.842197825528822]]"
Arise - Run Run Run,drums,15.976906383098818,2.108200572032895,57.62077662936971,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8847314304972868, -0.038927610610415275], [0.004325908942375057, 0.8283860710802597]]"
Arise - Run Run Run,other,0.8185558952193612,-6.0,35.748968864290006,"[[0.0, 0.5], [0.0, 0.0]]","[[0.18295714977242739, -0.053091868588193966], [0.019185940717514074, 0.038596914556534245]]"
Arise - Run Run Run,vocals,16.691294160274474,4.34426695740162,47.35270943058075,"[[0.0, 0.0], [0.0, 0.0]]","[[0.6244047333490215, 0.2397717655676603], [0.06552953598334862, 0.7824049494085223]]"
BKS - Bulldozer,bass,12.118508141471718,5.932259793580769,34.667006386165454,"[[0.0, 21.5], [-21.0, 0.0]]","[[0.7127019287344376, 0.09540132006840338], [0.2930720520168729, 0.4686247739719712]]"
BKS - Bulldozer,drums,18.16708847637919,8.651186644638678,42.343066789986665,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7677600902195951, 0.12673005752829175], [0.10529586038722141, 0.7830669469029645]]"
BKS - Bulldozer,other,10.183996374954152,2.4189990995975323,43.6299838424555,"[[0.0, -1.0], [1.0, 0.0]]","[[0.6741167954817566, 0.005944425153869925], [-0.0009025854205970121, 0.6973013273874276]]"
BKS - Bulldozer,vocals,12.899941375178742,6.073222069505933,28.721319185030076,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7444363306629553, -0.09017014369028789], [-0.07477919289895256, 0.8585016215210943]]"
BKS - Too Much,bass,17.768610605269064,8.565454672837657,34.11159148850838,"[[0.0, 13.5], [-14.5, -1.0]]","[[0.7522886621619367, 0.10768525659918404], [0.03438932491763292, 0.8595689327275626]]"
BKS - Too Much,drums,13.143894966796946,6.183054140892786,35.217764539687934,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7488325969436247, 0.031856191415858146], [0.028299657639029165, 0.7696543460892051]]"
BKS - Too Much,other,10.643613245129325,3.188158075214893,33.68868325018359,"[[0.0, 1.0], [-0.5, 0.0]]","[[0.6685690785952111, -0.015394645249771407], [-0.022689216877287567, 0.7395266398813751]]"
BKS - Too Much,vocals,19.668979943491475,9.360454448714346,28.240974129801632,"[[0.0, 0.0], [0.0, 0.0]]","[[0.8673784008512143, 0.06465549031834707], [0.1094793207435667, 0.8025003799134136]]"
Ben Carrigan - We'll Talk About It All Tonight,bass,15.259861343378416,5.980351299801297,31.077420398090112,"[[0.5, 0.0], [0.5, 0.0]]","[[90.69721529239618, -89.86298297734783], [44.25434782368107, -43.41723799227445]]"
Ben Carrigan - We'll Talk About It All Tonight,drums,13.68069265860587,5.956887361873195,32.03634871339167,"[[0.0, 0.0], [0.0, 0.0]]","[[0.7113117736040051, 0.07969820017153247], [-0.021255809716134805, 0.8696643814737057]]"
Ben Carrigan - We'll Talk About It All Tonight,other,11.413654331518266,2.624282947059645,39.36067313298405,"[[0.0, 0.5], [-0.5, 0.0]]","[[0.8228598913569362, -0.10212167770644064], [0.0016157246371718025, 0.696866251513553]]"
