,spr/num,spr/cal,sfr/num,sfr/cal,true_angle,est_angle,est_deviation,file
0,-3.595,-2.167,-2.462,-4.014,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
1,-4.407,-3.121,-2.08,-3.045,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
2,-3.476,-2.121,-2.569,-4.095,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
3,-3.693,-2.572,-2.468,-3.554,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
4,-3.038,-1.882,-2.758,-4.576,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si648.wav
5,-3.449,-2.103,-2.799,-4.26,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx127.wav
6,-2.702,-1.888,-2.495,-3.813,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx217.wav
7,-3.439,-2.089,-2.549,-4.078,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx307.wav
8,-4.229,-2.04,-2.065,-4.261,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx37.wav
9,-3.956,-1.511,-2.239,-5.32,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sx397.wav
10,-3.348,-2.182,-2.752,-4.072,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fdaw0/sa1.wav
11,-3.896,-2.771,-2.4,-3.377,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fdaw0/sa2.wav
12,-4.173,-2.08,-2.116,-4.208,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fdaw0/si1271.wav
13,-3.908,-2.254,-2.264,-3.904,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fdaw0/si1406.wav
14,-4.156,-2.962,-2.143,-3.156,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fdaw0/si2036.wav
15,-3.836,-2.449,-2.302,-3.656,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fdaw0/sx146.wav
16,-3.968,-1.99,-2.227,-4.317,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fdaw0/sx236.wav
17,-3.664,-2.268,-2.468,-3.951,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fdaw0/sx326.wav
18,-3.838,-2.833,-2.238,-3.044,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fdaw0/sx416.wav
19,-3.491,-2.217,-2.492,-3.853,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fdaw0/sx56.wav
20,-3.33,-2.451,-2.648,-3.55,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fdml0/sa1.wav
21,-3.923,-2.917,-2.244,-3.102,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fdml0/sa2.wav
22,-3.18,-2.055,-2.905,-4.124,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fdml0/si1149.wav
