,spr/num,sfr/num,cost,true_angle,est_angle,est_deviation,file
0,-1.9286549331065747e-15,0.0,3.1625892574243546e-27,0.0,-45.0,-45.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
1,-1.9286549331065747e-15,0.0,3.1625892574243546e-27,0.0,-30.0,-30.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
2,-1.9286549331065747e-15,0.0,3.1625892574243546e-27,0.0,-15.0,-15.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
3,-1.9286549331065747e-15,0.0,3.1625892574243546e-27,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
4,-1.9286549331065747e-15,0.0,3.1625892574243546e-27,0.0,15.0,15.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
5,-1.9286549331065747e-15,0.0,3.1625892574243546e-27,0.0,30.0,30.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
6,-1.9286549331065747e-15,0.0,3.1625892574243546e-27,0.0,45.0,45.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa1.wav
7,-9.643274665532871e-16,0.0,1.2968323076968907e-26,0.0,-45.0,-45.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
8,-9.643274665532871e-16,0.0,1.2968323076968907e-26,0.0,-30.0,-30.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
9,-9.643274665532871e-16,0.0,1.2968323076968907e-26,0.0,-15.0,-15.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
10,-9.643274665532871e-16,0.0,1.2968323076968907e-26,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
11,-9.643274665532871e-16,0.0,1.2968323076968907e-26,0.0,15.0,15.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
12,-9.643274665532871e-16,0.0,1.2968323076968907e-26,0.0,30.0,30.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
13,-9.643274665532871e-16,0.0,1.2968323076968907e-26,0.0,45.0,45.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/sa2.wav
14,-1.9286549331065747e-15,0.0,5.815190199313666e-27,0.0,-45.0,-45.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
15,-1.9286549331065747e-15,0.0,5.815190199313666e-27,0.0,-30.0,-30.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
16,-1.9286549331065747e-15,0.0,5.815190199313666e-27,0.0,-15.0,-15.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
17,-1.9286549331065747e-15,0.0,5.815190199313666e-27,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
18,-1.9286549331065747e-15,0.0,5.815190199313666e-27,0.0,15.0,15.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
19,-1.9286549331065747e-15,0.0,5.815190199313666e-27,0.0,30.0,30.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
20,-1.9286549331065747e-15,0.0,5.815190199313666e-27,0.0,45.0,45.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1027.wav
21,-1.4464911998299308e-15,-1.9286549331065747e-15,3.7090831322298855e-27,0.0,-45.0,-45.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
22,-1.4464911998299308e-15,-1.9286549331065747e-15,3.7090831322298855e-27,0.0,-30.0,-30.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
23,-1.4464911998299308e-15,-1.9286549331065747e-15,3.7090831322298855e-27,0.0,-15.0,-15.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
24,-1.4464911998299308e-15,-1.9286549331065747e-15,3.7090831322298855e-27,0.0,0.0,0.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
25,-1.4464911998299308e-15,-1.9286549331065747e-15,3.7090831322298855e-27,0.0,15.0,15.0,/home/kwatchar3/data/timit/timit/train/dr1/fcjf0/si1657.wav
